Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Warnings,Region,Date Scanned
-35.5584719,146.1638266,,Item 131,"Near 'Oaklands Medical Centre' (gp); straight-line 26.93 km, est. route 35.01 km from nearest pharmacy",70%,26.93,Urana Pharmacy,Oaklands Medical Centre,gp,,NSW,2026-02-14T22:03:58.012028
-34.2884617,146.5788588,,Item 131,"Near 'Barellan Community Health Centre' (gp); straight-line 30.60 km, est. route 39.77 km from nearest pharmacy",70%,30.60,Ardlethan Pharmacy,Barellan Community Health Centre,gp,,NSW,2026-02-14T22:03:58.013029
-33.7444555,148.8499565,,Item 131,"Near 'Woodstock Community Health Center' (gp); straight-line 17.46 km, est. route 22.69 km from nearest pharmacy",70%,17.46,Optimal Pharmacy Plus Health Hub Cowra,Woodstock Community Health Center,gp,,NSW,2026-02-14T22:03:58.014028
-30.8507774,143.0895209,,Item 131,"Near 'White Cliffs Health Service' (hospital); straight-line 83.31 km, est. route 108.30 km from nearest pharmacy",70%,83.31,St Abram Wilcannia Pharmacy,White Cliffs Health Service,hospital,,NSW,2026-02-14T22:03:58.015028
-30.1646202,151.0757175,,Item 131,"Near 'Bundarra Community Health' (hospital); straight-line 26.74 km, est. route 34.76 km from nearest pharmacy",70%,26.74,Tingha Pharmacy,Bundarra Community Health,hospital,,NSW,2026-02-14T22:03:58.016029
-30.9450275,149.0664006,,Item 131,"Near 'Baradine Multi-Purpose Service' (hospital); straight-line 41.64 km, est. route 54.13 km from nearest pharmacy",70%,41.64,Coonabarabran Pharmacy,Baradine Multi-Purpose Service,hospital,,NSW,2026-02-14T22:03:58.017029
-29.1102562,147.4560175,,Item 131,"Near 'Goodooga Health Service' (hospital); straight-line 61.66 km, est. route 80.16 km from nearest pharmacy",70%,61.66,White's Pharmacy - Lightning Ridge,Goodooga Health Service,hospital,,NSW,2026-02-14T22:03:58.019030
-33.4245577,148.3669433,,Item 131,"Near 'Eugowra Multi-Purpose Service' (hospital); straight-line 31.29 km, est. route 40.68 km from nearest pharmacy",70%,31.29,Canowindra Pharmacy,Eugowra Multi-Purpose Service,hospital,,NSW,2026-02-14T22:03:58.020029
-37.0447209,148.9459705,,Item 131,"Near 'Delegate Multi-Purpose Service' (hospital); straight-line 29.99 km, est. route 38.98 km from nearest pharmacy",70%,29.99,Bombala Pharmacy,Delegate Multi-Purpose Service,hospital,,NSW,2026-02-14T22:03:58.021029
-32.0306936,147.9768545,,Item 131,"Near 'Trangie Multi Purpose Service' (hospital); straight-line 33.34 km, est. route 43.35 km from nearest pharmacy",70%,33.34,Narromine Pharmacy,Trangie Multi Purpose Service,hospital,,NSW,2026-02-14T22:03:58.022028
-32.2424623,147.3581185,,Item 131,"Near 'Tottenham Multi Purpose Service' (hospital); straight-line 47.92 km, est. route 62.30 km from nearest pharmacy",70%,47.92,Fairwater Compounding Pharmacy,Tottenham Multi Purpose Service,hospital,,NSW,2026-02-14T22:03:58.023028
-34.7577692,149.7165727,,Item 133,"Supermarket 'Aldi' (est. GLA 1,650 sqm, brand: aldi) with no adjacent pharmacy (nearest 154 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,0.15,Blooms The Chemist Goulburn Marketplace,Aldi,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:58.024029
-32.7585536,151.7456363,,Item 133,"Supermarket 'Aldi' (est. GLA 1,650 sqm, brand: aldi) with no adjacent pharmacy (nearest 314 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,0.31,Blooms The Chemist Raymond Terrace,Aldi,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:58.025028
-36.0761143,146.9249399,,"Item 133, Item 134","Supermarket 'ALDI' (est. GLA 1,650 sqm, brand: aldi) with no adjacent pharmacy (nearest 267 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Supermarket 'Harris Farm Markets' (est. GLA 2,500 sqm, brand: harris_farm) with no adjacent pharmacy (nearest 374 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Shopping centre 'Rebel' (GLA 5,000 sqm, est. 20 tenants) with supermarket but no pharmacy. Large supermarket present but only 20 est. tenants (needs 50+)",70%,0.27,TerryWhite Chemmart Albury City,ALDI,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:58.027028
-33.4073499,151.3513627,,Item 133,"Supermarket 'Aldi' (est. GLA 1,650 sqm, brand: aldi) with no adjacent pharmacy (nearest 263 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,0.26,Wyoming Chempro Chemist,Aldi,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:58.028028
-33.8391714,151.2085187,,Item 133,"Supermarket 'ALDI' (est. GLA 1,650 sqm, brand: aldi) with no adjacent pharmacy (nearest 102 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,0.10,Priceline Pharmacy North Sydney,ALDI,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:58.029028
