osm_id,name,brand,brand_classified,lat,lon,area_sqm,address,operator,source
node/5011962335,Xpress Supermarket,,independent,-33.7703928,150.9094159,,"Main Street, Blacktown, 2148",,node
node/5021174101,Coles,Coles,coles,-33.4464514,151.3733425,,7 Sun Valley Road,,node
node/5023530821,Aldi,Aldi,aldi,-26.7031246,153.1316224,,119 Point Cartwright Drive,,node
node/5025308987,ALDI,ALDI,aldi,-23.857868,151.2529252,,"54 Boles Street, 4680",,node
node/5026436922,Mana Wholefoods & Café,,independent,-32.0657736,115.7525802,,,,node
node/5035403313,Yuen's Market,,independent,-27.5729521,153.0660091,,,,node
node/5036074433,Supa IGA Gordonvale,,iga,-17.0930134,145.7916302,,,,node
node/5037006321,ALDI,ALDI,aldi,-32.0742054,115.7584465,,"24 Hampton Road, WA",Aldi Australia,node
node/5042141521,Gibb River Store,,independent,-16.4266949,126.4309519,,Gibb River - Station Road,,node
node/5044621624,The Fruit Shack,,independent,-36.7554714,144.2647662,,"46 Eaglehawk Road, Ironbark, VIC, 3550",,node
node/5048023331,Woolworths,Woolworths,woolworths,-32.0980647,115.7848084,,WA,Woolworths Group,node
node/5048572088,,,independent,-33.5082668,151.3716025,,,,node
node/5049931302,Tony & Mark's,,independent,-34.9143905,138.5641895,,,,node
node/5058381197,Woolworths,Woolworths,woolworths,-28.1202143,153.4531985,,,Woolworths Group,node
node/5068608821,Coles,Coles,coles,-16.8970583,145.698944,,7-15 Larsen Road,Coles Group,node
node/5068728312,Woolworths Metro,Woolworths Metro,woolworths,-35.2002816,149.1487132,,,Woolworths Group,node
node/5076265996,ALDI,ALDI,aldi,-37.7731793,145.1118816,,299-301 Manningham Road,,node
node/5080643676,Coles,Coles,coles,-27.3993875,152.9587219,,5-11 Patricks Road,Coles Group,node
node/5084901321,James St Market,,independent,-27.455567,153.0395825,,,,node
node/5102861738,Rosalie Gourmet Markets,,independent,-27.4663662,152.997078,,,,node
node/5104366194,Cornett's IGA,,iga,-15.4716045,145.2491374,,,,node
node/5108698075,Foodland,Foodland,foodland,-37.8301002,140.7761745,,,,node
node/5114369495,Turis Mini Market,,independent,-33.9332761,151.142585,,Alexandra Street,,node
node/5127953788,LH Supermarket,,independent,-37.9741894,145.2017448,,,,node
node/5130554517,India At Home,,independent,-37.9240319,145.1204953,,131-133 Carinish Road,,node
node/5133073690,Woolworths,Woolworths,woolworths,-34.8959123,138.616859,,104 Walkerville Terrace,Woolworths Group,node
node/5136987113,Woolworths,Woolworths,woolworths,-16.8960418,145.6990227,,,Woolworths Group,node
node/5144855747,Coles,Coles,coles,-38.3410762,143.5940289,,140 Bromfield Street,Coles Group,node
node/5151680709,IGA,IGA,iga,-27.3062216,152.9358909,,,,node
node/5152973335,Smart Supermarket,,independent,-37.7656708,145.0919275,,,,node
node/5152993942,Coles,Coles,coles,-16.8350578,145.6917897,,,Coles Group,node
node/5163935991,ARC Asian Grocers,,independent,-37.7383251,145.0022413,,"1 Cook Street, 3072",,node
node/5174209146,Aldi,Aldi,aldi,-33.6987885,150.9581045,,10 Hezlett Road,,node
node/5177182636,Roaring Bear Asian Grocery,,independent,-37.8283644,145.121194,,,,node
node/5187330123,IGA,IGA,iga,-35.8094476,144.2220266,,,,node
node/5187993676,Pride Of Punjab,,independent,-37.9621014,145.1432283,,,,node
node/5195110521,Go Vita,,independent,-38.3798423,142.4801285,,,,node
node/5195329095,Savemore,,independent,-37.9409631,145.1660729,,,,node
node/5199558487,Woolworths,Woolworths,woolworths,-27.6635709,152.8916418,,,Woolworths Group,node
node/5199726880,One Stop Minimart,,independent,-37.9489788,145.1535441,,1 Sandown Road,,node
node/5201682238,Vacancy,,independent,-37.9517484,145.1517065,,3B Windsor Avenue,,node
node/5203746956,Thai Hoa Long Co,,independent,-37.9488938,145.1511298,,,,node
node/5211674472,Shahi,,independent,-37.9459516,145.1529339,,,,node
node/5213608171,KFL Supermarkets,KFL Supermarkets,independent,-37.9505791,145.1504806,,,,node
node/5215344443,Siem Reap's Grocery,,independent,-37.9657007,145.1743815,,,,node
node/5219780268,Woolworths,Woolworths,woolworths,-27.337715,152.9629791,,,Woolworths Group,node
node/5220770622,IGA Express,IGA,iga_express,-29.0719643,153.3422498,,,,node
node/5222791629,Coles,Coles,coles,-37.6730186,145.0169622,,47-71 May Road,Coles Group,node
node/5227802672,MJ Butcher Fruit Veg,,independent,-37.9868238,145.2147653,,9 Langhorne Street,,node
node/5229563124,Woolworths Metro,Woolworths Metro,woolworths,-37.8166598,144.9644577,,,Woolworths Group,node
node/5230328952,Coles,Coles,coles,-36.1202037,146.8888404,,1-13 South Street,,node
node/5230338598,Woolworths,Woolworths,woolworths,-36.1210509,146.8867459,,,Woolworths Group,node
node/5237574758,Miracle Supermarket Mandarin Center,Miracle Supermarket,independent,-33.7978479,151.1821666,,Albert Avenue,,node
node/5237628450,ALDI,ALDI,aldi,-33.6525321,151.0463207,,346 Galston Road,,node
node/5237774312,Foodworks,Foodworks,foodworks,-33.721763,150.4527557,,"193 Great Western Highway, Hazelbrook, 2779",,node
node/5241880001,Aldi,Aldi,aldi,-28.0854795,153.4092034,,1 South Bay Drive,Aldi,node
node/5241950711,Koh's Market Place,,independent,-37.9718495,145.1497789,,,,node
node/5241952630,Trường Giang Grocery,,independent,-37.9715195,145.1490246,,,,node
node/5241952631,Mekong Groceries,,independent,-37.9717702,145.1496318,,162 Athol Road,,node
node/5241952635,Cường Phát,,independent,-37.9716667,145.1490097,,571 Springvale Road,,node
node/5242175957,Foodworks,Foodworks,foodworks,-37.6938639,144.7545298,,595 Melton Highway,,node
node/5242329389,Morgan's IGA,,iga,-37.7260976,144.7809164,,,,node
node/5243876835,Dandy Bahar Supermarket,,independent,-37.9849935,145.2121829,,321 Thomas Street,,node
node/5243876840,C.J. Spifes & Videos,,independent,-37.985262,145.2136749,,,,node
node/5243876866,Rockyz Minimart,,independent,-37.9843967,145.2142798,,,,node
node/5245638898,Woolworths,Woolworths,woolworths,-27.3070831,152.9936032,,,Woolworths Group,node
node/5245638901,Coles,Coles,coles,-27.3064053,152.991551,,295 Gympie Road,Coles Group,node
node/5245638902,Aldi,Aldi,aldi,-27.3062646,152.9911403,,295 Gympie Road,,node
node/5246538692,ALDI Corner Store,Aldi,aldi,-33.8982656,151.1787524,,,,node
node/5246573649,Coles,Coles,coles,-33.8135343,151.1692596,,2 Rosenthal Avenue,Coles Group,node
node/5250216224,NP Supermarket,,independent,-32.0152293,115.9399741,,,,node
node/5253118021,Foodworks,Foodworks,foodworks,-28.0161841,153.1622698,,"16 Christie Street, Canungra, 4275",,node
node/5257002334,ALDI,ALDI,aldi,-37.8750268,145.164852,,235 Springvale Road,,node
node/5257284713,Sunlit,,independent,-27.4700193,153.0267124,,,,node
node/5257546861,Thornbury Cellars IGA,IGA,iga,-37.7511479,144.9881648,,"141 Miller Street, 3071",,node
node/5259346424,IGA,,iga,-36.6168993,142.4704091,,,,node
node/5259357720,Coles,Coles,coles,-35.1645617,149.1320065,,815 Horse Park Drive,Coles Group,node
node/5261236819,Foodworks,Foodworks,foodworks,-32.7607478,151.7737876,,,,node
node/5273006363,Woolworths,Woolworths,woolworths,-34.8552712,138.6551724,,,Woolworths Group,node
node/5273026020,ALDI,ALDI,aldi,-34.8557513,138.6555112,,,,node
node/5274784247,OK Asian Supermarket,,independent,-37.8853827,145.0575483,,,,node
node/5274784293,Indian Grocery,,independent,-37.885233,145.0575882,,,,node
node/5275860521,Aldi,Aldi,aldi,-31.6379084,115.6963244,,"2712 Butler Boulevard, WA, 6036",Aldi Australia,node
node/5275860526,Woolworths,Woolworths,woolworths,-31.9638372,115.9351524,,"227 Belmont Avenue, WA",Woolworths Group,node
node/5276627283,Drakes,Drakes,drakes,-34.8295514,138.6724457,,429 Montague Road,Drakes,node
node/5278933489,Tong Li Asian Supermarket Castle Hill,,independent,-33.7329106,151.0062985,,,,node
node/5279317369,Aldi,Aldi,aldi,-27.4944546,153.0581428,,300 Old Cleveland Road,,node
node/5281068521,IGA,IGA,iga,-33.4049312,149.5463749,,,,node
node/5285524997,MKS Spices n Things,,independent,-37.9892872,145.2152267,,,,node
node/5285526960,African Products,,independent,-37.9862461,145.2152154,,,,node
node/5285526973,Bestway Supermarket,,independent,-37.9883953,145.2148283,,,,node
node/5286460796,Swan Asian Grocery,,independent,-35.2506543,149.1375822,,Badham Street,,node
node/5287029468,Coles,Coles,coles,-28.8435498,153.4400563,,8-20 Robertson Street,Coles Group,node
node/5289107418,IGA,IGA,iga,-35.5577288,138.6160991,,,,node
node/5292300760,Tenambit Foodworks,,foodworks,-32.7434698,151.6034869,,,,node
node/5296890499,IGA,IGA,iga,-35.2895611,149.154093,,,,node
node/5300149815,Mollymook fresh supermarket,,independent,-35.3233753,150.4759007,,,,node
node/5300150468,Khan's Supa IGA,IGA,iga,-34.7454675,150.8262283,,,,node
node/5300351746,King Market,,independent,-27.6105931,153.03275,,,,node
node/5300351747,Algester AsiaMart,,independent,-27.6105646,153.0324027,,,,node
node/5302055941,Cunningham's IGA,,iga,-33.1328551,148.1735968,,,,node
node/5302873984,Queenscliff General Store,,independent,-38.2696413,144.6547677,,,,node
node/5306141866,Kew Friendly Supermarket,,independent,-37.7960183,145.0354729,,"81A Willsmere Road, Kew, VIC, 3101",,node
node/5312900747,IGA,IGA,iga,-38.4043593,144.1900356,,,,node
node/5314352824,Flaxmill Road Supermarket,,independent,-35.1267174,138.4997187,,,,node
node/5314480430,Boatshed,,independent,-31.9987649,115.7616264,,,,node
node/5315378480,IGA Local Grocer,IGA,iga,-27.4473677,153.036308,,,,node
