Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Pop 5km,Pop 10km,Pop 15km,Nearest Town,Nearest Town Pop,Nearest Town Dist (km),Opportunity Score,Pharmacy Count 5km,Pharmacy Count 10km,Pharmacy Count 15km,Chain Count,Independent Count,Competition Score,Nearest Competitors,Composite Score,Growth Indicator,Growth Details
-18.3664822,135.8603377,,"Item 131, Item 134A","Near 'Corrella Creek Health Centre' (gp); straight-line 225.73 km, est. route 293.45 km from nearest pharmacy | Very remote -- 'Corrella Creek Health Centre' (gp) is 225.73 km from nearest pharmacy (threshold 90 km)",90%,225.73,United Chemists Tennant Creek,Corrella Creek Health Centre,gp,NT,2026-02-14T21:57:47.533439,500,500,500,Unknown,0,-1,675.0,0,0,0,0,0,0.0,,112865.0,,
-22.2074436,133.430551,,"Item 131, Item 134A","Near 'Pmara Jutunta Health Centre' (gp); straight-line 170.46 km, est. route 221.60 km from nearest pharmacy | Very remote -- 'Pmara Jutunta Health Centre' (gp) is 170.46 km from nearest pharmacy (threshold 90 km)",90%,170.46,United Chemists Northside Pharmacy NT,Pmara Jutunta Health Centre,gp,NT,2026-02-14T21:57:47.528438,500,653,653,Unknown,0,-1,881.6,0,0,0,0,0,0.0,,111310.4,,
-21.6592971,135.22454,,"Item 131, Item 134A","Near 'Ampilatwatja Health Centre' (gp); straight-line 248.60 km, est. route 323.18 km from nearest pharmacy | Very remote -- 'Ampilatwatja Health Centre' (gp) is 248.60 km from nearest pharmacy (threshold 90 km)",90%,248.60,United Chemists Tennant Creek,Ampilatwatja Health Centre,gp,NT,2026-02-14T21:57:47.515438,439,439,439,Ampilatwatja,439,0.24,592.6,0,0,0,0,0,0.0,,109135.4,,
-11.761109,130.6312938,,Item 131,"Near 'Piliyamanyirra Supermarket' (supermarket); straight-line 71.53 km, est. route 92.99 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,71.53,Territory Pharmacy Northpharm,Piliyamanyirra Supermarket,supermarket,NT,2026-02-14T21:57:47.567955,1521,1521,1521,Wurrumiyanga,1421,0.19,1597.0,0,0,0,0,0,0.0,,108797.1,,
-11.7588517,130.63898026666666,,Item 131,"Near 'Julanimawu Health Care Centre' (gp); straight-line 71.46 km, est. route 92.89 km from nearest pharmacy | Near 'Wurrumiyanga Well Being Centre' (gp); straight-line 71.44 km, est. route 92.87 km from nearest pharmacy | Near 'Julanimawu Health Care Centre' (hospital); straight-line 71.45 km, est. route 92.88 km from nearest pharmacy",70%,71.46,Territory Pharmacy Northpharm,Julanimawu Health Care Centre,gp,NT,2026-02-14T21:57:47.572956,1521,1521,1521,Wurrumiyanga,1421,0.86,1597.0,0,0,0,0,0,0.0,,108690.7,,
-21.740422549999998,133.73175880000002,,"Item 131, Item 134A","Near 'Wilora Health Centre' (gp); straight-line 216.75 km, est. route 281.77 km from nearest pharmacy | Near 'WIlora Health Centre' (gp); straight-line 216.75 km, est. route 281.77 km from nearest pharmacy | Very remote -- 'Wilora Health Centre' (gp) is 216.75 km from nearest pharmacy (threshold 90 km) | Very remote -- 'WIlora Health Centre' (gp) is 216.75 km from nearest pharmacy (threshold 90 km)",90%,216.75,United Chemists Northside Pharmacy NT,Wilora Health Centre,gp,NT,2026-02-14T21:57:47.502438,500,500,500,Unknown,0,-1,675.0,0,0,0,0,0,0.0,,108375.0,,
-25.3476433,131.0633555,,"Item 131, Item 134A","Near 'Mutitjulu Health Centre' (gp); straight-line 334.97 km, est. route 435.46 km from nearest pharmacy | Very remote -- 'Mutitjulu Health Centre' (gp) is 334.97 km from nearest pharmacy (threshold 90 km)",90%,334.97,Territory Pharmacy Alice Springs,Mutitjulu Health Centre,gp,NT,2026-02-14T21:57:47.532438,296,296,1149,Yulara,853,14.13,399.6,0,0,0,0,0,0.0,,99151.1,,
-13.782681,136.1953861,,"Item 131, Item 134A","Near 'Milyakburra Health Centre' (gp); straight-line 188.96 km, est. route 245.64 km from nearest pharmacy | Very remote -- 'Milyakburra Health Centre' (gp) is 188.96 km from nearest pharmacy (threshold 90 km)",90%,188.96,Gove Pharmacy,Milyakburra Health Centre,gp,NT,2026-02-14T21:57:47.546439,500,500,500,Unknown,0,-1,675.0,0,0,0,0,0,0.0,,94480.0,,
-12.5026861,135.8054722,,"Item 131, Item 134A","Near 'Gapuwiyak Health Centre' (gp); straight-line 112.33 km, est. route 146.03 km from nearest pharmacy | Very remote -- 'Gapuwiyak Health Centre' (gp) is 112.33 km from nearest pharmacy (threshold 90 km)",90%,112.33,Gove Pharmacy,Gapuwiyak Health Centre,gp,NT,2026-02-14T21:57:47.551438,828,828,828,Gapuwiyak,828,0.34,1117.8,0,0,0,0,0,0.0,,93009.2,,
-23.2041267,131.909096,,"Item 131, Item 134A","Near 'Papunya Health Centre' (gp); straight-line 207.38 km, est. route 269.59 km from nearest pharmacy | Very remote -- 'Papunya Health Centre' (gp) is 207.38 km from nearest pharmacy (threshold 90 km)",90%,207.38,United Chemists Northside Pharmacy NT,Papunya Health Centre,gp,NT,2026-02-14T21:57:47.496439,438,438,438,Papunya,438,0.34,591.3,0,0,0,0,0,0.0,,90832.4,,
