Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned
-37.8689178,144.8299879,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 159 m)",75%,0.16,Chemist Discount Centre Altona,Coles,supermarket,VIC,2026-02-14T12:23:28.075817
-36.3563708,146.3271285,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 162 m)",75%,0.16,Ramsay Pharmacy,ALDI,supermarket,VIC,2026-02-14T12:23:28.076817
-38.3316698,144.3198144,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 392 m)",75%,0.39,Priceline Pharmacy Torquay,Coles,supermarket,VIC,2026-02-14T12:23:28.077817
-37.2485895,144.4520922,,Item 133,"Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 105 m)",75%,0.11,TerryWhite Chemmart Kyneton,Woolworths,supermarket,VIC,2026-02-14T12:23:28.078817
-37.7842775,144.8922627,,Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 104 m)",75%,0.10,Edgewater Boulevard Pharmacy,Aldi,supermarket,VIC,2026-02-14T12:23:28.079817
-37.8408888,145.2627028,,Item 133,"Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 239 m)",75%,0.24,TerryWhite Chemmart Bayswater,Woolworths,supermarket,VIC,2026-02-14T12:23:28.080817
-38.45546006666667,145.2391363,,"Item 133, Item 134","Supermarket 'Cowes IGA' (1,200 sqm) with no adjacent pharmacy (nearest 115 m) | Shopping centre 'Bay Living' (GLA 5,000 sqm) with supermarket but no pharmacy | Shopping centre 'Sambreros' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.20,TerryWhite Chemmart Phillip Island,Bay Living,shopping_centre,VIC,2026-02-14T12:23:28.081817
-38.1744441,146.258408,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 311 m) | Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 292 m)",75%,0.31,Soul Pattinson Pharmacy Moe,Coles,supermarket,VIC,2026-02-14T12:23:28.083817
-38.3303177,144.987326,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 1.66 km)",75%,1.66,Dromana Alliance Pharmacy,ALDI,supermarket,VIC,2026-02-14T12:23:28.084817
-38.13418715,145.85485864999998,,"Item 133, Item 134","Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 111 m) | Shopping centre 'The Crossing' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.11,Chemist Discount Centre Drouin,Coles,supermarket,VIC,2026-02-14T12:23:28.085817
-37.883705,145.2778081,,Item 133,"Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 206 m)",75%,0.21,PharmaSave,Woolworths,supermarket,VIC,2026-02-14T12:23:28.086817
-37.3421575,144.1417141,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 111 m)",75%,0.11,Blooms The Chemist Daylesford,Coles,supermarket,VIC,2026-02-14T12:23:28.087817
-36.7576168,144.2962722,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 809 m)",75%,0.81,Emily Roberts Pharmacy 777,Coles,supermarket,VIC,2026-02-14T12:23:28.089377
-36.7139538,142.1977247,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 145 m)",75%,0.15,Priceline Pharmacy Horsham,Coles,supermarket,VIC,2026-02-14T12:23:28.090375
-36.131069,144.7494176,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 337 m)",75%,0.34,Priceline Pharmacy Echuca Square,Coles,supermarket,VIC,2026-02-14T12:23:28.091375
-37.788432900000004,145.1190254,,"Item 133, Item 134","Supermarket 'No 1 Asian Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 743 m) | Shopping centre 'China Bar' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.62,Priceline Pharmacy,China Bar,shopping_centre,VIC,2026-02-14T12:23:28.092375
-37.5613944,143.8685176,,Item 133,"Supermarket 'Coles Bakery Hill' (3,000 sqm) with no adjacent pharmacy (nearest 106 m)",75%,0.11,UFS Dispensaries Ballarat (Victoria Street),Coles Bakery Hill,supermarket,VIC,2026-02-14T12:23:28.093375
-37.9276332,145.4452677,,Item 133,"Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 633 m)",75%,0.63,Emerald Wellness Pharmacy,Woolworths,supermarket,VIC,2026-02-14T12:23:28.095374
-37.28763,144.94817475000002,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 115 m) | Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 135 m)",75%,0.12,Direct Chemist Outlet Kilmore,Coles,supermarket,VIC,2026-02-14T12:23:28.096391
-37.5847377,143.8419352,,"Item 133, Item 134","Supermarket 'ALDI Sebastopol' (1,300 sqm) with no adjacent pharmacy (nearest 271 m) | Shopping centre 'ALDI Sebastopol' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.27,UFS Dispensaries Sebastopol,ALDI Sebastopol,supermarket,VIC,2026-02-14T12:23:28.097375
-38.0849951,145.2928351,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 145 m)",75%,0.15,Chemist Warehouse,Coles,supermarket,VIC,2026-02-14T12:23:28.098375
-37.8245797,147.6279603,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 212 m)",75%,0.21,Priceline Pharmacy Bairnsdale,ALDI,supermarket,VIC,2026-02-14T12:23:28.099375
-37.825797050000006,147.63329099999999,,"Item 133, Item 134","Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 163 m) | Shopping centre 'Your Space' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.16,Complete Care Pharmacy Bairnsdale,Coles,supermarket,VIC,2026-02-14T12:23:28.100375
-37.8604328,145.0291228,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 177 m)",75%,0.18,Amcal Pharmacy Malvern,Coles,supermarket,VIC,2026-02-14T12:23:28.101375
-37.866424,145.0937422,,Item 133,"Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 100 m)",75%,0.10,PharmaSave,Woolworths,supermarket,VIC,2026-02-14T12:23:28.102376
-37.7520867,145.0028302,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 121 m)",75%,0.12,Preston South Pharmacy,ALDI,supermarket,VIC,2026-02-14T12:23:28.104416
