lat,lon,suburb,postcode,state,rule_item,confidence,nearest_pharmacy_km,reason,name,address,source_type,population,osrm_verified
-12.501602,135.784459,,,NT,Item 131,0.6,146.529,"Nearest pharmacy Gunyangara Health Centre is 104.7km geodesic (~146.5km by road), pop=705",SA1 70204106303,,census_sa1,705,False
-22.478276,140.076372,,,QLD,Item 131,0.6,146.175,"Nearest pharmacy Dajarra - Pharmacy is 104.4km geodesic (~146.2km by road), pop=245",SA1 31503141004,,census_sa1,245,False
-27.970538,121.082962,,,WA,Item 131,0.6,145.582,"Nearest pharmacy LEONORA PHARMACY is 104.0km geodesic (~145.6km by road), pop=538",SA1 51103128320,,census_sa1,538,False
-14.91535,133.096477,,,NT,Item 131,0.6,143.322,"Nearest pharmacy Pharmasave Katherine Pharmacy is 102.4km geodesic (~143.3km by road), pop=237",SA1 70205106512,,census_sa1,237,False
-18.335507,130.627679,,,NT,Item 131,0.6,141.074,"Nearest pharmacy Kalkaringi Primary Health Centre is 100.8km geodesic (~141.1km by road), pop=653",SA1 70205106807,,census_sa1,653,False
-28.934431,122.334837,,,WA,Item 131,0.6,137.342,"Nearest pharmacy LEONORA PHARMACY is 98.1km geodesic (~137.3km by road), pop=407",SA1 51103128306,,census_sa1,407,False
-18.065785,124.121769,,,WA,Item 131,0.6,137.317,"Nearest pharmacy Kimberly Pharmacy Services - Derby is 98.1km geodesic (~137.3km by road), pop=412",SA1 51001126322,,census_sa1,412,False
-36.085,136.693926,,,SA,Item 131,0.6,136.7,"Nearest pharmacy TerryWhite Chemmart Kangaroo Island is 97.6km geodesic (~136.7km by road), pop=338",SA1 40701114503,,census_sa1,338,False
-38.518856,145.110861,,,VIC,Item 131,0.8,136.383,"Nearest pharmacy Flinders Pharmacy is 9.6km geodesic (~13.4km by road), pop=241",SA1 20503109140,,census_sa1,241,True
-9.900524,142.773934,,,QLD,Item 131,0.6,135.817,"Nearest pharmacy Thursday Island Pharmacy is 97.0km geodesic (~135.8km by road), pop=275",SA1 31501140201,,census_sa1,275,False
-26.174249,143.432105,,,QLD,Item 131,0.6,135.491,"Nearest pharmacy Quilpie Pharmacy is 96.8km geodesic (~135.5km by road), pop=240",SA1 31503141104,,census_sa1,240,False
-16.489621,123.362606,,,WA,Item 131,0.6,133.574,"Nearest pharmacy Kimberly Pharmacy Services - Derby is 95.4km geodesic (~133.6km by road), pop=334",SA1 51001126301,,census_sa1,334,False
-20.926853,146.309555,,,QLD,Item 131,0.6,132.005,"Nearest pharmacy Charters Towers Pharmacy is 94.3km geodesic (~132.0km by road), pop=454",SA1 31801146303,,census_sa1,454,False
-24.98726,146.315232,,,QLD,Item 131,0.8,131.285,"Nearest pharmacy Tambo Pharmacy is 13.1km geodesic (~18.3km by road), pop=260",SA1 31503140814,,census_sa1,260,True
-29.56132,120.766238,,,WA,Item 131,0.6,130.321,"Nearest pharmacy LEONORA PHARMACY is 93.1km geodesic (~130.3km by road), pop=463",SA1 51103128301,,census_sa1,463,False
-18.67883,121.772589,,,WA,Item 131,0.6,129.865,"Nearest pharmacy Kimberley Pharmacy Services (Broome) is 92.8km geodesic (~129.9km by road), pop=593",SA1 51001126605,,census_sa1,593,False
-25.292377,147.326506,,,QLD,Item 131,0.6,129.681,"Nearest pharmacy Augathella Hospital - Pharmacy Service is 92.6km geodesic (~129.7km by road), pop=249",SA1 31503140913,,census_sa1,249,False
-14.556395,133.112383,,,NT,Item 131,0.6,128.551,"Nearest pharmacy Pharmasave Katherine Pharmacy is 91.8km geodesic (~128.6km by road), pop=542",SA1 70205106502,,census_sa1,542,False
-18.732974,145.29272,,,QLD,Item 131,0.6,128.073,"Nearest pharmacy TerryWhite Chemmart Ingham is 91.5km geodesic (~128.1km by road), pop=227",SA1 31801146310,,census_sa1,227,False
-32.505989,119.19173,,,WA,Item 131,0.6,125.432,"Nearest pharmacy Narembeen Pharmacy is 89.6km geodesic (~125.4km by road), pop=245",SA1 50903124714,,census_sa1,245,False
-11.874113,135.966166,,,NT,Item 131,0.6,124.571,"Nearest pharmacy Gunyangara Health Centre is 89.0km geodesic (~124.6km by road), pop=429",SA1 70204106310,,census_sa1,429,False
-29.608479,145.200043,,,NSW,Item 131,0.6,124.537,"Nearest pharmacy The Towers Drug Co is 89.0km geodesic (~124.5km by road), pop=244",SA1 10501109205,,census_sa1,244,False
-28.541973,115.50857,,,WA,Item 131,0.6,123.847,"Nearest pharmacy Optimal Pharmacy Plus - Sunset Beach is 88.5km geodesic (~123.8km by road), pop=312",SA1 51104129207,,census_sa1,312,False
-23.956478,134.752833,,,NT,Item 131,0.6,123.067,"Nearest pharmacy Territory Pharmacy Alice Springs is 87.9km geodesic (~123.1km by road), pop=364",SA1 70201105216,,census_sa1,364,False
-13.809849,131.814981,,,NT,Item 131,0.6,122.033,"Nearest pharmacy Terrace Pharmacy is 87.2km geodesic (~122.0km by road), pop=318",SA1 70203105803,,census_sa1,318,False
-38.024967,147.524929,,,VIC,Item 131,0.8,121.62,"OSRM verified: 121.6km by road to Loch Sport Pharmacy (5.4km geodesic), pop=231",SA1 20502108601,,census_sa1,231,True
-18.884199,125.927041,,,WA,Item 131,0.6,120.128,"Nearest pharmacy Kimberley Pharmacy Services (Fitzroy Valley) is 85.8km geodesic (~120.1km by road), pop=231",SA1 51001126313,,census_sa1,231,False
-18.510872,124.825831,,,WA,Item 131,0.6,120.085,"Nearest pharmacy Kimberley Pharmacy Services (Fitzroy Valley) is 85.8km geodesic (~120.1km by road), pop=434",SA1 51001126326,,census_sa1,434,False
-12.437916,130.751311,,,NT,Item 131,0.8,119.411,"Nearest pharmacy Territory Pharmacy Stuart Park is 9.9km geodesic (~13.8km by road), pop=422",SA1 70203105703,,census_sa1,422,True
-31.247842,137.246598,,,SA,Item 131,0.6,116.188,"Nearest pharmacy Roxby Downs Pharmacy is 83.0km geodesic (~116.2km by road), pop=517",SA1 40602114111,,census_sa1,517,False
-16.86316,144.392731,,,QLD,Item 131,0.6,115.886,"Nearest pharmacy Dimbulah Chemist is 82.8km geodesic (~115.9km by road), pop=316",SA1 31501140007,,census_sa1,316,False
-20.551597,146.869606,,,QLD,Item 131,0.6,115.188,"Nearest pharmacy Charters Towers Hospital Pharmacy is 82.3km geodesic (~115.2km by road), pop=204",SA1 31801146302,,census_sa1,204,False
-27.731171,149.817826,,,QLD,Item 131,0.6,113.333,"Nearest pharmacy Tara Pharmacy is 81.0km geodesic (~113.3km by road), pop=266",SA1 30701117811,,census_sa1,266,False
-30.759503,118.269057,,,WA,Item 131,0.6,112.162,"Nearest pharmacy Merredin Pharmacy is 80.1km geodesic (~112.2km by road), pop=291",SA1 50902124206,,census_sa1,291,False
-20.960687,115.340038,,,WA,Item 131,0.6,109.911,"Nearest pharmacy Onslow Pharmacy is 78.5km geodesic (~109.9km by road), pop=563",SA1 51003127105,,census_sa1,563,False
-13.335404,141.729264,,,QLD,Item 131,0.6,109.827,"Nearest pharmacy LiveLife Pharmacy Weipa is 78.4km geodesic (~109.8km by road), pop=1101",SA1 31501139501,,census_sa1,1101,False
-20.003547,140.43872,,,QLD,Item 131,0.6,109.39,"Nearest pharmacy Cloncurry Hospital - Pharmacy is 78.1km geodesic (~109.4km by road), pop=814",SA1 31502140607,,census_sa1,814,False
-24.484825,149.211245,,,QLD,Item 131,0.6,109.191,"Nearest pharmacy MOURA PHARMACY is 78.0km geodesic (~109.2km by road), pop=257",SA1 30801119004,,census_sa1,257,False
