Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned
-32.070180475,115.8919354,,"Item 130, Item 133","Supermarket 'Natural City' (1500 sqm) + GP 'Olympic Medical Centre' (1.0 FTE) within 500 m; 1.83 km from nearest pharmacy | GP 'Olympic Medical Centre' (1.0 FTE) + Supermarket 'Springbok Foods' (1500 sqm) within 500 m; 1.69 km from nearest pharmacy | Supermarket 'Natural City' (1,500 sqm) with no adjacent pharmacy (nearest 1.83 km) | Supermarket 'Springbok Foods' (1,500 sqm) with no adjacent pharmacy (nearest 1.82 km)",75%,1.83,Southlands Pharmacy,Natural City,supermarket,WA,2026-02-14T16:53:20.850071
-33.09412438,119.02465134000002,,"Item 130, Item 131, Item 133","Supermarket 'Newdegate Groicer and Cafe' (1200 sqm) + GP 'Newdegate Medical Centre' (1.0 FTE) within 500 m; 52.43 km from nearest pharmacy | GP 'Newdegate Medical Centre' (1.0 FTE) + Supermarket 'Newdegate Groicer and Cafe' (1200 sqm) within 500 m; 52.51 km from nearest pharmacy | Near 'Newdegate Groicer and Cafe' (supermarket); straight-line 52.43 km, est. route 68.16 km from nearest pharmacy | Near 'Newdegate Medical Centre' (gp); straight-line 52.51 km, est. route 68.27 km from nearest pharmacy | Supermarket 'Newdegate Groicer and Cafe' (1,200 sqm) with no adjacent pharmacy (nearest 52.43 km)",75%,52.43,Lake Grace Community Pharmacy,Newdegate Groicer and Cafe,supermarket,WA,2026-02-14T16:53:20.851071
-30.824989025,117.48283825,,"Item 130, Item 131, Item 133","Supermarket 'Koorda IGA' (1200 sqm) + GP 'Koorda Health Centre' (1.0 FTE) within 500 m; 40.70 km from nearest pharmacy | Near 'Koorda IGA' (supermarket); straight-line 40.70 km, est. route 52.91 km from nearest pharmacy | Near 'Koorda Health Centre' (gp); straight-line 40.74 km, est. route 52.96 km from nearest pharmacy | Supermarket 'Koorda IGA' (1,200 sqm) with no adjacent pharmacy (nearest 40.70 km)",75%,40.70,Happy Pill Pharmacy,Koorda IGA,supermarket,WA,2026-02-14T16:53:20.852071
-29.88172854,116.02294835999999,,"Item 130, Item 131, Item 133","Supermarket 'Family Shopping Centre' (1500 sqm) + GP 'Coorow Medical Centre' (1.0 FTE) within 500 m; 46.12 km from nearest pharmacy | GP 'Coorow Medical Centre' (1.0 FTE) + Supermarket 'Family Shopping Centre' (1500 sqm) within 500 m; 46.08 km from nearest pharmacy | Near 'Family Shopping Centre' (supermarket); straight-line 46.12 km, est. route 59.96 km from nearest pharmacy | Near 'Coorow Medical Centre' (gp); straight-line 46.08 km, est. route 59.91 km from nearest pharmacy | Supermarket 'Family Shopping Centre' (1,500 sqm) with no adjacent pharmacy (nearest 46.12 km)",75%,46.12,Sal's Pharmacy,Family Shopping Centre,supermarket,WA,2026-02-14T16:53:20.853071
-33.5535182,115.5637124,,"Item 130, Item 131, Item 133","Supermarket 'Capel Fresh IGA' (1200 sqm) + GP 'CAPEL Child Health Clinic' (1.0 FTE) within 500 m; 17.20 km from nearest pharmacy | Near 'Capel Fresh IGA' (supermarket); straight-line 17.20 km, est. route 22.36 km from nearest pharmacy | Supermarket 'Capel Fresh IGA' (1,200 sqm) with no adjacent pharmacy (nearest 17.20 km)",75%,17.20,Boyanup Pharmacy,Capel Fresh IGA,supermarket,WA,2026-02-14T16:53:20.855071
-33.5574885,115.5629979,,"Item 130, Item 131","GP 'CAPEL Child Health Clinic' (1.0 FTE) + Supermarket 'Capel Fresh IGA' (1200 sqm) within 500 m; 17.46 km from nearest pharmacy | Near 'CAPEL Child Health Clinic' (gp); straight-line 17.46 km, est. route 22.70 km from nearest pharmacy",75%,17.46,Boyanup Pharmacy,CAPEL Child Health Clinic,gp,WA,2026-02-14T16:53:20.856071
-32.44924386666667,118.86372456666668,,"Item 131, Item 133, Item 134","Near 'Hyden IGA' (supermarket); straight-line 61.41 km, est. route 79.84 km from nearest pharmacy | Supermarket 'Hyden IGA' (1,200 sqm) with no adjacent pharmacy (nearest 61.41 km) | Shopping centre 'The Bush Bakehouse' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,61.33,Narembeen Pharmacy,The Bush Bakehouse,shopping_centre,WA,2026-02-14T16:53:20.857071
-32.9324977,117.1770218,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 253 m)",75%,0.25,The Narrogin Pharmacy,Coles,supermarket,WA,2026-02-14T16:53:20.858123
-32.62852825,115.8734611,,"Item 133, Item 134","Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 201 m) | Shopping centre 'Pinjarra Junction Shopping Centre' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.20,Pinjarra Pharmacy,Coles,supermarket,WA,2026-02-14T16:53:20.859170
-35.0182295,117.8814018,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 194 m)",75%,0.19,Albany Plaza Discount Drug Store,ALDI,supermarket,WA,2026-02-14T16:53:20.860143
-35.00505185,117.87438689999999,,"Item 133, Item 134","Supermarket 'IGA' (1,200 sqm) with no adjacent pharmacy (nearest 464 m) | Shopping centre 'North Road Shopping Centre' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.45,Unknown Pharmacy,North Road Shopping Centre,shopping_centre,WA,2026-02-14T16:53:20.861143
-31.995181199999998,116.0111531,,"Item 133, Item 134","Supermarket 'Farmer Jacks' (1,500 sqm) with no adjacent pharmacy (nearest 731 m) | Shopping centre 'Edinburgh Road Shopping Centre' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.73,Forrestfield Pharmacy,Edinburgh Road Shopping Centre,shopping_centre,WA,2026-02-14T16:53:20.862144
-30.775541750000002,121.4608674,,"Item 133, Item 134","Supermarket 'O'Connor Fresh IGA' (1,200 sqm) with no adjacent pharmacy (nearest 2.84 km) | Shopping centre 'O'Connor IGA' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,2.83,Boulder Pharmacy,O'Connor IGA,shopping_centre,WA,2026-02-14T16:53:20.863144
-20.7340825,116.8470448,,Item 133,"Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 213 m)",75%,0.21,Pharmacy Help Karratha,Woolworths,supermarket,WA,2026-02-14T16:53:20.864143
-31.7442395,115.7665936,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 104 m)",75%,0.10,Wizard Pharmacy Joondalup Upper Level,Coles,supermarket,WA,2026-02-14T16:53:20.866143
-31.7690702,115.81942365,,Item 133,"Supermarket 'Wyatt Grove' (1,500 sqm) with no adjacent pharmacy (nearest 115 m) | Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 102 m)",75%,0.10,Superchem Hocking,Woolworths,supermarket,WA,2026-02-14T16:53:20.867143
-34.2421388,116.14423,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 185 m)",75%,0.19,Pharmacy 777 Manjimup,Coles,supermarket,WA,2026-02-14T16:53:20.868143
-31.8890555,116.0122292,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 146 m)",75%,0.15,Chemist Warehouse Midland Gate,Coles,supermarket,WA,2026-02-14T16:53:20.869143
-31.657724950000002,116.67063835,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 408 m) | Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 355 m)",75%,0.41,Northam Discount Drug Store,Coles,supermarket,WA,2026-02-14T16:53:20.870158
-32.2437781,115.8157836,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 104 m)",75%,0.10,Chisham Express Pharmacy,ALDI,supermarket,WA,2026-02-14T16:53:20.871143
-32.1266356,115.9268333,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 109 m)",75%,0.11,Priceline Pharmacy Harrisdale,ALDI,supermarket,WA,2026-02-14T16:53:20.872143
-32.0000778,115.9847958,,Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 2.33 km)",75%,2.33,Priceline Carousel,Aldi,supermarket,WA,2026-02-14T16:53:20.873143
-32.0666492,115.75265214999999,,"Item 133, Item 134","Supermarket 'Mana Wholefoods & Café' (1,500 sqm) with no adjacent pharmacy (nearest 567 m) | Shopping centre 'Milan Indian Restaurant' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.56,Banovich Pharmacy South Fremantle,Milan Indian Restaurant,shopping_centre,WA,2026-02-14T16:53:20.874713
-31.6379084,115.6963244,,Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 295 m)",75%,0.30,Priceline Pharmacy Butler,Aldi,supermarket,WA,2026-02-14T16:53:20.875710
-31.91019866666667,115.8875824,,"Item 133, Item 134","Supermarket 'IGA Bedford' (1,200 sqm) with no adjacent pharmacy (nearest 613 m) | Shopping centre 'Promenade Fish Supply' (GLA 5,000 sqm) with supermarket but no pharmacy | Shopping centre 'Our Table' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.59,Advantage Pharmacy Bedford,Promenade Fish Supply,shopping_centre,WA,2026-02-14T16:53:20.876711
-32.1326544,115.8575436,,Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 182 m)",75%,0.18,Priceline Pharmacy Gateways,Aldi,supermarket,WA,2026-02-14T16:53:20.877710
-31.9850501,115.9007256,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 112 m)",75%,0.11,Park Centre Pharmacy,Coles,supermarket,WA,2026-02-14T16:53:20.878710
-33.3284172,115.6388095,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 161 m)",75%,0.16,Priceline Bunbury,ALDI,supermarket,WA,2026-02-14T16:53:20.880710
-34.993574,117.8555655,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 111 m)",75%,0.11,Orana Pharmacy Albany,Coles,supermarket,WA,2026-02-14T16:53:20.881710
-31.6496435,115.6973146,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 179 m)",75%,0.18,Pharmacy 777 Jindalee,Coles,supermarket,WA,2026-02-14T16:53:20.882710
-32.1525298,116.0157135,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 121 m)",75%,0.12,TerryWhite Chemmart Armadale,Coles,supermarket,WA,2026-02-14T16:53:20.883710
-32.1316827,116.0011742,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 187 m)",75%,0.19,Champion Drive-In Pharmacy,Coles,supermarket,WA,2026-02-14T16:53:20.884710
-32.1264971,115.7984639,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 201 m)",75%,0.20,Beeliar Soul Pattinson Chemist,ALDI,supermarket,WA,2026-02-14T16:53:20.885710
-32.027541400000004,115.9495743,,"Item 133, Item 134","Supermarket 'Taj Mahal Indian Groceries' (1,500 sqm) with no adjacent pharmacy (nearest 168 m) | Shopping centre 'Amart' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.36,Wizard Pharmacy Cannington,Amart,shopping_centre,WA,2026-02-14T16:53:20.886710
-33.3576899,116.1524896,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 177 m)",75%,0.18,TerryWhite Chemmart Collie,Coles,supermarket,WA,2026-02-14T16:53:20.887710
-32.0682555,115.99817395,,"Item 133, Item 134","Supermarket 'Aung Sae Oriental Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 161 m) | Shopping centre 'Gosnells Railway Markets' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.31,Chemist Warehouse,Gosnells Railway Markets,shopping_centre,WA,2026-02-14T16:53:20.888710
-31.9558069,115.8041291,,Item 133,"Supermarket 'Coles Local' (3,000 sqm) with no adjacent pharmacy (nearest 1.01 km)",75%,1.01,Shenton Pharmacy,Coles Local,supermarket,WA,2026-02-14T16:53:20.890268
-31.946518525000002,115.858731175,,"Item 133, Item 134","Supermarket 'European Food Wholesalers' (1,500 sqm) with no adjacent pharmacy (nearest 282 m) | Supermarket 'European Food Wholesalers' (1,500 sqm) with no adjacent pharmacy (nearest 283 m) | Shopping centre 'Varsity' (GLA 5,000 sqm) with supermarket but no pharmacy | Shopping centre 'The Aberdeen Hotel' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.26,Chemist Warehouse,Varsity,shopping_centre,WA,2026-02-14T16:53:20.890791
-32.0672687,115.8182739,,"Item 133, Item 134","Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 226 m) | Shopping centre 'ALDI' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.23,TerryWhite Chemmart Kardinya,ALDI,supermarket,WA,2026-02-14T16:53:20.892776
-32.0908259,115.9426114,,Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 166 m)",75%,0.17,Priceline Pharmacy Canning Vale,Aldi,supermarket,WA,2026-02-14T16:53:20.893777
-32.0394312,115.9076519,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 205 m)",75%,0.21,Wizard Pharmacy Riverton,Coles,supermarket,WA,2026-02-14T16:53:20.894776
