Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes,Pop 5km,Pop 10km,Pop 15km,Nearest Town,Nearest Town Pop,Nearest Town Dist (km),Opportunity Score,Pharmacy Count 5km,Pharmacy Count 10km,Pharmacy Count 15km,Chain Count,Independent Count,Competition Score,Nearest Competitors,Composite Score
-33.5412671,118.1486847,,"Item 131, Item 133","Near '124 Nyabing Store' (supermarket); straight-line 45.83 km, est. route 59.58 km from nearest pharmacy | Supermarket '124 Nyabing Store' (1,500 sqm) with no adjacent pharmacy (nearest 45.83 km)",70%,45.83,Gnowangerup Pharmacy,124 Nyabing Store,supermarket,WA,2026-02-14T16:53:20.915378,VERIFIED,No pharmacies found in OSM within search radius,296,296,296,Unknown,0,-1,310.8,0,0,0,0,0,0.0,,13565.7
-32.6689164,118.155206,,"Item 131, Item 133","Near 'IGA Local Grocer' (supermarket); straight-line 45.82 km, est. route 59.56 km from nearest pharmacy | Supermarket 'IGA Local Grocer' (1,200 sqm) with no adjacent pharmacy (nearest 45.82 km)",70%,45.82,Corrigin Pharmacy & Health Food Centre,IGA Local Grocer,supermarket,WA,2026-02-14T16:53:20.911378,VERIFIED,No pharmacies found in OSM within search radius,294,294,294,Unknown,0,-1,308.7,0,0,0,0,0,0.0,,13471.1
-29.1903298,115.4417385,,"Item 131, Item 133","Near 'Mingenew IGA' (supermarket); straight-line 49.28 km, est. route 64.07 km from nearest pharmacy | Supermarket 'Mingenew IGA' (1,200 sqm) with no adjacent pharmacy (nearest 49.28 km)",70%,49.28,Sal's Pharmacy,Mingenew IGA,supermarket,WA,2026-02-14T16:53:20.928926,VERIFIED,No pharmacies found in OSM within search radius,249,249,249,Unknown,0,-1,261.4,0,0,0,0,0,0.0,,12270.7
-25.794013,113.7191705,,"Item 131, Item 133","Near 'Supermarket' (supermarket); straight-line 23.67 km, est. route 30.77 km from nearest pharmacy | Supermarket 'Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 23.67 km)",70%,23.67,Shark Bay Pharmacy,Supermarket,supermarket,WA,2026-02-14T16:53:20.910379,VERIFIED,No pharmacies found in OSM within search radius,500,500,500,Unknown,0,-1,525.0,0,0,0,0,0,0.0,,11835.0
-30.4506327,117.8633641,,"Item 131, Item 133","Near 'Beacon General Store Co-Op' (supermarket); straight-line 73.54 km, est. route 95.61 km from nearest pharmacy | Supermarket 'Beacon General Store Co-Op' (1,500 sqm) with no adjacent pharmacy (nearest 73.54 km)",70%,73.54,Unknown Pharmacy,Beacon General Store Co-Op,supermarket,WA,2026-02-14T16:53:20.921926,VERIFIED,No pharmacies found in OSM within search radius,160,160,160,Unknown,0,-1,168.0,0,0,0,0,0,0.0,,11766.4
-32.0000778,115.9847958,,Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 2.33 km)",75%,2.33,Priceline Carousel,Aldi,supermarket,WA,2026-02-14T16:53:20.873143,VERIFIED,No pharmacies found in OSM within search radius,1071946,1705422,1771468,Wattle Grove,5968,0.83,1279066.5,13,81,206,91,115,345.5,"Priceline Carousel (2.3km, chain); Beckenham Pharmacy (2.4km, ind); Forrestfield Pharmacy (2.6km, ind)",11467.9
-30.5039781,115.066037,,Item 131,"Near 'Cervantes Health Centre' (hospital); straight-line 22.46 km, est. route 29.20 km from nearest pharmacy",70%,22.46,Jurien Pharmacy,Cervantes Health Centre,hospital,WA,2026-02-14T16:53:20.937496,VERIFIED,No pharmacies found in OSM within search radius,480,480,480,Cervantes,480,0.25,504.0,0,0,0,0,0,0.0,,10780.8
-32.368673,117.0107759,,"Item 131, Item 133","Near 'IGA Local Grocer - Nourish Brookton' (supermarket); straight-line 19.69 km, est. route 25.60 km from nearest pharmacy | Supermarket 'IGA Local Grocer - Nourish Brookton' (1,200 sqm) with no adjacent pharmacy (nearest 19.69 km)",70%,19.69,Pingelly Pharmacy,IGA Local Grocer - Nourish Brookton,supermarket,WA,2026-02-14T16:53:20.924926,VERIFIED,No pharmacies found in OSM within search radius,532,532,532,Brookton,532,0.06,558.6,0,0,0,0,0,0.0,,10475.1
-30.9165437,118.2072057,,Item 131,"Near 'Mukinbudin Healthcare Centre' (gp); straight-line 34.59 km, est. route 44.96 km from nearest pharmacy",70%,34.59,Unknown Pharmacy,Mukinbudin Healthcare Centre,gp,WA,2026-02-14T16:53:20.931926,VERIFIED,No pharmacies found in OSM within search radius,284,284,284,Unknown,0,-1,298.2,0,0,0,0,0,0.0,,9823.6
-32.4890447,118.2655506,,Item 131,"Near 'Kondinin Hospital & Aged Care' (hospital); straight-line 40.60 km, est. route 52.79 km from nearest pharmacy",70%,40.6,Corrigin Pharmacy & Health Food Centre,Kondinin Hospital & Aged Care,hospital,WA,2026-02-14T16:53:20.940496,VERIFIED,No pharmacies found in OSM within search radius,226,226,226,Unknown,0,-1,237.3,0,0,0,0,0,0.0,,9175.6
