Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes
-18.3664822,135.8603377,,"Item 131, Item 134A","Near 'Corrella Creek Health Centre' (gp); straight-line 225.73 km, est. route 293.45 km from nearest pharmacy | Very remote -- 'Corrella Creek Health Centre' (gp) is 225.73 km from nearest pharmacy (threshold 90 km)",90%,225.73,United Chemists Tennant Creek,Corrella Creek Health Centre,gp,NT,2026-02-14T16:50:31.327152,VERIFIED,No pharmacies found in OSM within search radius
-11.1499374,132.5768202,,"Item 131, Item 134A","Near 'Minjilang Health Centre' (gp); straight-line 225.54 km, est. route 293.21 km from nearest pharmacy | Very remote -- 'Minjilang Health Centre' (gp) is 225.54 km from nearest pharmacy (threshold 90 km)",90%,225.54,TerryWhite Chemmart Humpty Doo,Minjilang Health Centre,gp,NT,2026-02-14T16:50:31.318152,VERIFIED,No pharmacies found in OSM within search radius
-21.8997683,134.8404933,,"Item 131, Item 134A","Near 'Urapuntja Health Service' (gp); straight-line 221.93 km, est. route 288.51 km from nearest pharmacy | Very remote -- 'Urapuntja Health Service' (gp) is 221.93 km from nearest pharmacy (threshold 90 km)",90%,221.93,United Chemists Northside Pharmacy NT,Urapuntja Health Service,gp,NT,2026-02-14T16:50:31.320152,VERIFIED,No pharmacies found in OSM within search radius
-21.740422549999998,133.73175880000002,,"Item 131, Item 134A","Near 'Wilora Health Centre' (gp); straight-line 216.75 km, est. route 281.77 km from nearest pharmacy | Near 'WIlora Health Centre' (gp); straight-line 216.75 km, est. route 281.77 km from nearest pharmacy | Very remote -- 'Wilora Health Centre' (gp) is 216.75 km from nearest pharmacy (threshold 90 km) | Very remote -- 'WIlora Health Centre' (gp) is 216.75 km from nearest pharmacy (threshold 90 km)",90%,216.75,United Chemists Northside Pharmacy NT,Wilora Health Centre,gp,NT,2026-02-14T16:50:31.301152,VERIFIED,No pharmacies found in OSM within search radius
-12.3266273,133.0560544,,"Item 131, Item 133, Item 134A","Near 'Adjumarllarl Store & Takeaway' (supermarket); straight-line 214.03 km, est. route 278.24 km from nearest pharmacy | Supermarket 'Adjumarllarl Store & Takeaway' (1,500 sqm) with no adjacent pharmacy (nearest 214.03 km) | Very remote -- 'Adjumarllarl Store & Takeaway' (supermarket) is 214.03 km from nearest pharmacy (threshold 90 km)",90%,214.03,TerryWhite Chemmart Humpty Doo,Adjumarllarl Store & Takeaway,supermarket,NT,2026-02-14T16:50:31.288152,VERIFIED,No pharmacies found in OSM within search radius
-12.3217551,133.0548208,,"Item 131, Item 134A","Near 'Gunbalanya Health Centre' (gp); straight-line 213.97 km, est. route 278.16 km from nearest pharmacy | Very remote -- 'Gunbalanya Health Centre' (gp) is 213.97 km from nearest pharmacy (threshold 90 km)",90%,213.97,TerryWhite Chemmart Humpty Doo,Gunbalanya Health Centre,gp,NT,2026-02-14T16:50:31.349152,VERIFIED,No pharmacies found in OSM within search radius
-15.2215285,134.0826122,,"Item 131, Item 134A","Near 'Minyerri Health Clinic' (gp); straight-line 212.60 km, est. route 276.38 km from nearest pharmacy | Very remote -- 'Minyerri Health Clinic' (gp) is 212.60 km from nearest pharmacy (threshold 90 km)",90%,212.6,Pharmasave Katherine Pharmacy,Minyerri Health Clinic,gp,NT,2026-02-14T16:50:31.342152,VERIFIED,No pharmacies found in OSM within search radius
-25.5808646,134.5762556,,"Item 131, Item 134A","Near 'Finke Health Centre' (gp); straight-line 209.12 km, est. route 271.85 km from nearest pharmacy | Very remote -- 'Finke Health Centre' (gp) is 209.12 km from nearest pharmacy (threshold 90 km)",90%,209.12,Territory Pharmacy Alice Springs,Finke Health Centre,gp,NT,2026-02-14T16:50:31.296152,VERIFIED,No pharmacies found in OSM within search radius
-21.5070877,133.9971034,,"Item 131, Item 134A","Near 'Tara Health Clinic' (gp); straight-line 208.21 km, est. route 270.67 km from nearest pharmacy | Very remote -- 'Tara Health Clinic' (gp) is 208.21 km from nearest pharmacy (threshold 90 km)",90%,208.21,United Chemists Tennant Creek,Tara Health Clinic,gp,NT,2026-02-14T16:50:31.329152,VERIFIED,No pharmacies found in OSM within search radius
-23.2041267,131.909096,,"Item 131, Item 134A","Near 'Papunya Health Centre' (gp); straight-line 207.38 km, est. route 269.59 km from nearest pharmacy | Very remote -- 'Papunya Health Centre' (gp) is 207.38 km from nearest pharmacy (threshold 90 km)",90%,207.38,United Chemists Northside Pharmacy NT,Papunya Health Centre,gp,NT,2026-02-14T16:50:31.295152,VERIFIED,No pharmacies found in OSM within search radius
