Rank,Deal Score,Item,State,Pharmacy Name,Pharmacy Address,Target Centre,Distance (m),Centre Tenants,Centre GLA (sqm),Existing Pharmacies in Centre,Key Reason,Why Opportunity
1,0.8,Item 124,TAS,TerryWhite Chemmart Latrobe,"45a Gilbert Street, LATROBE, TAS, 7307",Commonwealth Bank,470.0,20,5000.0,0,Pharmacy 'TerryWhite Chemmart Latrobe' is 470m from large shopping centre 'Commonwealth Bank',centre has NO pharmacy; pharmacy 470m from centre
2,0.8,Item 124,TAS,Derwent Park Pharmacy,"254 Main Road, DERWENT PARK, TAS, 7009",Jackson Motor Company,425.0,20,5000.0,0,Pharmacy 'Derwent Park Pharmacy' is 425m from large shopping centre 'Jackson Motor Company',centre has NO pharmacy; pharmacy 425m from centre
3,0.8,Item 124,TAS,Friendly Care Advantage Moonah,"67 Hopkins Street, MOONAH, TAS, 7009",Fantastic Furniture,367.0,20,5000.0,0,Pharmacy 'Friendly Care Advantage Moonah' is 367m from large shopping centre 'Fantastic Furniture',centre has NO pharmacy; pharmacy 367m from centre
4,0.8,Item 124,TAS,Bolands Pharmacy,"67 Wilson Street, BURNIE, TAS, 7320",Express Auto Centre,348.0,20,5000.0,0,Pharmacy 'Bolands Pharmacy' is 348m from large shopping centre 'Express Auto Centre',centre has NO pharmacy; pharmacy 348m from centre
5,0.8,Item 124,TAS,Complete Care Pharmacy Burnie,"12A Wilson Street, BURNIE, TAS, 7320",Express Auto Centre,497.0,20,5000.0,0,Pharmacy 'Complete Care Pharmacy Burnie' is 497m from large shopping centre 'Express Auto Centre',centre has NO pharmacy; pharmacy 497m from centre
6,0.8,Item 124,TAS,Burnie Plaza Pharmacy,"Shop 6 24 Mount Street, BURNIE, TAS, 7320",Express Auto Centre,447.0,20,5000.0,0,Pharmacy 'Burnie Plaza Pharmacy' is 447m from large shopping centre 'Express Auto Centre',centre has NO pharmacy; pharmacy 447m from centre
7,0.8,Item 124,TAS,Dixon's Pharmacy,"112 Goldie Street, WYNYARD, TAS, 7325",Subway,453.0,20,5000.0,0,Pharmacy 'Dixon's Pharmacy' is 453m from large shopping centre 'Subway',centre has NO pharmacy; pharmacy 453m from centre
8,0.8,Item 124,TAS,Evandale Pharmacy,"8A High Street, EVANDALE, TAS, 7212",Jardin Skin Care Apothecary Tonics,420.0,20,5000.0,0,Pharmacy 'Evandale Pharmacy' is 420m from large shopping centre 'Jardin Skin Care Apothecary Tonics',centre has NO pharmacy; pharmacy 420m from centre
9,0.8,Item 124,TAS,Chemist Warehouse Moonah,"38 to 74 Main Road, Moonah, TAS, 7009",Autobarn,394.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Moonah' is 394m from large shopping centre 'Autobarn',centre has NO pharmacy; pharmacy 394m from centre
10,0.8,Item 124,TAS,Priceline Pharmacy Bridgewater,"SHOP 5, GREEN POINT PLAZA, 24-28 GREEN POINT ROAD, BRIDGEWATER, TAS, 7030",Green Point Plaza,310.0,20,5000.0,0,Pharmacy 'Priceline Pharmacy Bridgewater' is 310m from large shopping centre 'Green Point Plaza',centre has NO pharmacy; pharmacy 310m from centre
11,0.8,Item 124,TAS,Priceline Pharmacy Kingston,"SHOP 30, CHANNEL COURT SHOPPING CENTRE, CHANNEL HIGHWAY, KINGSTON, TAS, 7050",Total Tools,368.0,20,5000.0,0,Pharmacy 'Priceline Pharmacy Kingston' is 368m from large shopping centre 'Total Tools',centre has NO pharmacy; pharmacy 368m from centre
12,0.8,Item 124,TAS,Westbury Pharmacy,TAS,Westbury Rural Services,489.0,20,5000.0,0,Pharmacy 'Westbury Pharmacy' is 489m from large shopping centre 'Westbury Rural Services',centre has NO pharmacy; pharmacy 489m from centre
13,0.75,Item 124,TAS,Fitzpatrick's Pharmacy,"231 Charles Street, LAUNCESTON, TAS, 7250",Tool Kit Depot,615.0,20,5000.0,0,Pharmacy 'Fitzpatrick's Pharmacy' is 615m from large shopping centre 'Tool Kit Depot',centre has NO pharmacy; pharmacy 615m from centre
14,0.75,Item 124,TAS,Fitzpatrick's Pharmacy,"231 Charles Street, LAUNCESTON, TAS, 7250",Tamar Marine,703.0,20,5000.0,0,Pharmacy 'Fitzpatrick's Pharmacy' is 703m from large shopping centre 'Tamar Marine',centre has NO pharmacy; pharmacy 703m from centre
15,0.75,Item 124,TAS,TerryWhite Chemmart Latrobe,"45a Gilbert Street, LATROBE, TAS, 7307",Belly's Pizza and Takeaway,579.0,20,5000.0,0,Pharmacy 'TerryWhite Chemmart Latrobe' is 579m from large shopping centre 'Belly's Pizza and Takeaway',centre has NO pharmacy; pharmacy 579m from centre
16,0.75,Item 124,TAS,Derwent Park Pharmacy,"254 Main Road, DERWENT PARK, TAS, 7009",Beacon Lighting,518.0,20,5000.0,0,Pharmacy 'Derwent Park Pharmacy' is 518m from large shopping centre 'Beacon Lighting',centre has NO pharmacy; pharmacy 518m from centre
17,0.75,Item 124,TAS,Derwent Park Pharmacy,"254 Main Road, DERWENT PARK, TAS, 7009",Harvey Norman,528.0,20,5000.0,0,Pharmacy 'Derwent Park Pharmacy' is 528m from large shopping centre 'Harvey Norman',centre has NO pharmacy; pharmacy 528m from centre
18,0.75,Item 124,TAS,Derwent Park Pharmacy,"254 Main Road, DERWENT PARK, TAS, 7009",BCF,565.0,20,5000.0,0,Pharmacy 'Derwent Park Pharmacy' is 565m from large shopping centre 'BCF',centre has NO pharmacy; pharmacy 565m from centre
19,0.75,Item 124,TAS,Friendly Care Advantage Moonah,"67 Hopkins Street, MOONAH, TAS, 7009",GO PIZZA,706.0,20,5000.0,0,Pharmacy 'Friendly Care Advantage Moonah' is 706m from large shopping centre 'GO PIZZA',centre has NO pharmacy; pharmacy 706m from centre
20,0.75,Item 124,TAS,Friendly Care Advantage Moonah,"67 Hopkins Street, MOONAH, TAS, 7009",BCF,722.0,20,5000.0,0,Pharmacy 'Friendly Care Advantage Moonah' is 722m from large shopping centre 'BCF',centre has NO pharmacy; pharmacy 722m from centre
21,0.75,Item 124,TAS,Friendly Care Advantage Moonah,"67 Hopkins Street, MOONAH, TAS, 7009",Harvey Norman,744.0,20,5000.0,0,Pharmacy 'Friendly Care Advantage Moonah' is 744m from large shopping centre 'Harvey Norman',centre has NO pharmacy; pharmacy 744m from centre
22,0.75,Item 124,TAS,Friendly Care Advantage Moonah,"67 Hopkins Street, MOONAH, TAS, 7009",Beacon Lighting,770.0,20,5000.0,0,Pharmacy 'Friendly Care Advantage Moonah' is 770m from large shopping centre 'Beacon Lighting',centre has NO pharmacy; pharmacy 770m from centre
23,0.75,Item 124,TAS,Chemist Warehouse Moonah,"68-74 Main Road, MOONAH, TAS, 7009",Fantastic Furniture,510.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Moonah' is 510m from large shopping centre 'Fantastic Furniture',centre has NO pharmacy; pharmacy 510m from centre
24,0.75,Item 124,TAS,Chemist Warehouse Moonah,"68-74 Main Road, MOONAH, TAS, 7009",GO PIZZA,632.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Moonah' is 632m from large shopping centre 'GO PIZZA',centre has NO pharmacy; pharmacy 632m from centre
25,0.75,Item 124,TAS,Chemist Warehouse New Town,"Shop 10 New Town Plaza 1 Risdon Road, NEW TOWN, TAS, 7008",GO PIZZA,676.0,20,5000.0,0,Pharmacy 'Chemist Warehouse New Town' is 676m from large shopping centre 'GO PIZZA',centre has NO pharmacy; pharmacy 676m from centre
26,0.75,Item 124,TAS,Galloways Pharmacy,"15 King Street, SCOTTSDALE, TAS, 7260",Roberts Ltd Scottsdale,747.0,20,5000.0,0,Pharmacy 'Galloways Pharmacy' is 747m from large shopping centre 'Roberts Ltd Scottsdale',centre has NO pharmacy; pharmacy 747m from centre
27,0.75,Item 124,TAS,Scottsdale Pharmacy,"21 Alfred Street, Unit 1, SCOTTSDALE, TAS, 7260",Roberts Ltd Scottsdale,541.0,20,5000.0,0,Pharmacy 'Scottsdale Pharmacy' is 541m from large shopping centre 'Roberts Ltd Scottsdale',centre has NO pharmacy; pharmacy 541m from centre
28,0.75,Item 124,TAS,TerryWhite Chemmart Kingston Town,"Shop 10-15b Kingston Town Shopping Centre, 37-59 Maranoa Road, KINGSTON, TAS, 7050",Total Tools,760.0,20,5000.0,0,Pharmacy 'TerryWhite Chemmart Kingston Town' is 760m from large shopping centre 'Total Tools',centre has NO pharmacy; pharmacy 760m from centre
29,0.75,Item 124,TAS,TerryWhite Chemmart Margate,"1710 Channel Highway, MARGATE, TAS, 7054",Brookfield,644.0,24,6000.0,0,Pharmacy 'TerryWhite Chemmart Margate' is 644m from large shopping centre 'Brookfield',centre has NO pharmacy; pharmacy 644m from centre
30,0.75,Item 124,TAS,Chemist Warehouse Moonah,"38 to 74 Main Road, Moonah, TAS, 7009",Fantastic Furniture,633.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Moonah' is 633m from large shopping centre 'Fantastic Furniture',centre has NO pharmacy; pharmacy 633m from centre
31,0.75,Item 124,TAS,Chemist Warehouse Moonah,"38 to 74 Main Road, Moonah, TAS, 7009",GO PIZZA,702.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Moonah' is 702m from large shopping centre 'GO PIZZA',centre has NO pharmacy; pharmacy 702m from centre
32,0.75,Item 124,TAS,TerryWhite Chemmart Channel Margate,"1703 Channel Highway, Margate, TAS, 7054",Brookfield,541.0,24,6000.0,0,Pharmacy 'TerryWhite Chemmart Channel Margate' is 541m from large shopping centre 'Brookfield',centre has NO pharmacy; pharmacy 541m from centre
33,0.75,Item 124,TAS,TerryWhite Chemmart Riverside,"Shop 4, Riverside Plaza, Riverside, TAS, 7250",Woolworths Riverside,738.0,20,5000.0,0,Pharmacy 'TerryWhite Chemmart Riverside' is 738m from large shopping centre 'Woolworths Riverside',centre has NO pharmacy; pharmacy 738m from centre
34,0.75,Item 124,TAS,Invermay Discount Drug Store,,Tool Kit Depot,657.0,20,5000.0,0,Pharmacy 'Invermay Discount Drug Store' is 657m from large shopping centre 'Tool Kit Depot',centre has NO pharmacy; pharmacy 657m from centre
35,0.75,Item 124,TAS,Chemists' Own Trevallyn Pharmacy,TAS,Tamar Marine,729.0,20,5000.0,0,Pharmacy 'Chemists' Own Trevallyn Pharmacy' is 729m from large shopping centre 'Tamar Marine',centre has NO pharmacy; pharmacy 729m from centre
36,0.7,Item 125,TAS,Oatlands Pharmacy,"90 High Street, OATLANDS, TAS, 7120",The Pancake & Crepe Shop,1033.0,20,5000.0,0,Pharmacy 'Oatlands Pharmacy' is 1033m from large shopping centre 'The Pancake & Crepe Shop',centre has NO pharmacy
37,0.7,Item 125,TAS,Meadow Mews Pharmacy,"Shop 15 Meadow Mews Shopping Centre, 102 - 106 Hobart Road, KINGS MEADOWS, TAS, 7249",DongSheng,1062.0,20,5000.0,0,Pharmacy 'Meadow Mews Pharmacy' is 1062m from large shopping centre 'DongSheng',centre has NO pharmacy
38,0.7,Item 125,TAS,Pharmacy and Co Kings Meadows,"133 Hobart Road, KINGS MEADOWS, TAS, 7249",DongSheng,1099.0,20,5000.0,0,Pharmacy 'Pharmacy and Co Kings Meadows' is 1099m from large shopping centre 'DongSheng',centre has NO pharmacy
39,0.7,Item 124,TAS,Slade Pharmacy Kings Meadows,"86 Hobart Road, KINGS MEADOWS, TAS, 7249",DongSheng,884.0,20,5000.0,0,Pharmacy 'Slade Pharmacy Kings Meadows' is 884m from large shopping centre 'DongSheng',centre has NO pharmacy
40,0.7,Item 125,TAS,Chemist Warehouse South Launceston,"98 Wellington Street, LAUNCESTON, TAS, 7250",Tamar Marine,1051.0,20,5000.0,0,Pharmacy 'Chemist Warehouse South Launceston' is 1051m from large shopping centre 'Tamar Marine',centre has NO pharmacy
41,0.7,Item 125,TAS,Chemist Warehouse South Launceston,"98 Wellington Street, LAUNCESTON, TAS, 7250",Basin Cafe,1453.0,20,5000.0,0,Pharmacy 'Chemist Warehouse South Launceston' is 1453m from large shopping centre 'Basin Cafe',centre has NO pharmacy
42,0.7,Item 125,TAS,Hatton & Laws Soul Pattinson Pharmacy,"102 Charles Street, LAUNCESTON, TAS, 7250",Tamar Marine,1172.0,20,5000.0,0,Pharmacy 'Hatton & Laws Soul Pattinson Pharmacy' is 1172m from large shopping centre 'Tamar Marine',centre has NO pharmacy
43,0.7,Item 125,TAS,Hatton & Laws Soul Pattinson Pharmacy,"102 Charles Street, LAUNCESTON, TAS, 7250",Tool Kit Depot,1494.0,20,5000.0,0,Pharmacy 'Hatton & Laws Soul Pattinson Pharmacy' is 1494m from large shopping centre 'Tool Kit Depot',centre has NO pharmacy
44,0.7,Item 124,TAS,Chemist Warehouse Launceston,"112A -116 Charles Street, LAUNCESTON, TAS, 7250",Tamar Marine,896.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Launceston' is 896m from large shopping centre 'Tamar Marine',centre has NO pharmacy
45,0.7,Item 125,TAS,Chemist Warehouse Launceston,"112A -116 Charles Street, LAUNCESTON, TAS, 7250",Tool Kit Depot,1102.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Launceston' is 1102m from large shopping centre 'Tool Kit Depot',centre has NO pharmacy
46,0.7,Item 124,TAS,Pharmacy and Co Launceston,"68a Brisbane Street, LAUNCESTON, TAS, 7250",Tool Kit Depot,996.0,20,5000.0,0,Pharmacy 'Pharmacy and Co Launceston' is 996m from large shopping centre 'Tool Kit Depot',centre has NO pharmacy
47,0.7,Item 125,TAS,Pharmacy and Co Launceston,"68a Brisbane Street, LAUNCESTON, TAS, 7250",Tamar Marine,1087.0,20,5000.0,0,Pharmacy 'Pharmacy and Co Launceston' is 1087m from large shopping centre 'Tamar Marine',centre has NO pharmacy
48,0.7,Item 125,TAS,TerryWhite Chemmart Launceston City,"27-29 Brisbane Street, LAUNCESTON, TAS, 7250",Tool Kit Depot,1085.0,20,5000.0,0,Pharmacy 'TerryWhite Chemmart Launceston City' is 1085m from large shopping centre 'Tool Kit Depot',centre has NO pharmacy
49,0.7,Item 125,TAS,TerryWhite Chemmart Launceston City,"27-29 Brisbane Street, LAUNCESTON, TAS, 7250",Tamar Marine,1376.0,20,5000.0,0,Pharmacy 'TerryWhite Chemmart Launceston City' is 1376m from large shopping centre 'Tamar Marine',centre has NO pharmacy
50,0.7,Item 125,TAS,Chemist Warehouse Racecourse,"1-3 Innes Street, LAUNCESTON, TAS, 7250",Tool Kit Depot,1328.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Racecourse' is 1328m from large shopping centre 'Tool Kit Depot',centre has NO pharmacy
51,0.7,Item 125,TAS,Priceline Pharmacy Launceston Plaza,"Launceston Shopping Plaza, Shop 1, 15 Racecourse Crescent, LAUNCESTON, TAS, 7250",Tool Kit Depot,1463.0,20,5000.0,0,Pharmacy 'Priceline Pharmacy Launceston Plaza' is 1463m from large shopping centre 'Tool Kit Depot',centre has NO pharmacy
52,0.7,Item 125,TAS,TerryWhite Chemmart Mowbray,"4/282 Invermay Road, MOWBRAY, TAS, 7248",Pellows Saws & Mowers,1443.0,20,5000.0,0,Pharmacy 'TerryWhite Chemmart Mowbray' is 1443m from large shopping centre 'Pellows Saws & Mowers',centre has NO pharmacy
53,0.7,Item 125,TAS,Chemist Warehouse Mowbray,"Shop 8, 25 Vermont Road, MOWBRAY, TAS, 7248",Pellows Saws & Mowers,1294.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Mowbray' is 1294m from large shopping centre 'Pellows Saws & Mowers',centre has NO pharmacy
54,0.7,Item 124,TAS,TerryWhite Chemmart Latrobe,"45a Gilbert Street, LATROBE, TAS, 7307",Latrobe's Top Shop,907.0,20,5000.0,0,Pharmacy 'TerryWhite Chemmart Latrobe' is 907m from large shopping centre 'Latrobe's Top Shop',centre has NO pharmacy
55,0.7,Item 124,TAS,Priceline Pharmacy Ulverstone,"66 Reibey Street, ULVERSTONE, TAS, 7315",EG Australia,909.0,20,5000.0,0,Pharmacy 'Priceline Pharmacy Ulverstone' is 909m from large shopping centre 'EG Australia',centre has NO pharmacy
56,0.7,Item 124,TAS,Peter Thompson's Pharmacy,"13 Reibey Street, ULVERSTONE, TAS, 7315",EG Australia,851.0,20,5000.0,0,Pharmacy 'Peter Thompson's Pharmacy' is 851m from large shopping centre 'EG Australia',centre has NO pharmacy
57,0.7,Item 125,TAS,Fullife Pharmacy - Ulverstone,"24 King Edward Street, ULVERSTONE, TAS, 7315",EG Australia,1043.0,20,5000.0,0,Pharmacy 'Fullife Pharmacy - Ulverstone' is 1043m from large shopping centre 'EG Australia',centre has NO pharmacy
58,0.7,Item 125,TAS,Chemist Warehouse Glenorchy,"371 Main Road, GLENORCHY, TAS, 7010",Jackson Motor Company,1379.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Glenorchy' is 1379m from large shopping centre 'Jackson Motor Company',centre has NO pharmacy
59,0.7,Item 125,TAS,Chemist Warehouse Glenorchy,"371 Main Road, GLENORCHY, TAS, 7010",Harvey Norman,1462.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Glenorchy' is 1462m from large shopping centre 'Harvey Norman',centre has NO pharmacy
60,0.7,Item 125,TAS,Chemist Warehouse Glenorchy,"371 Main Road, GLENORCHY, TAS, 7010",Beacon Lighting,1472.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Glenorchy' is 1472m from large shopping centre 'Beacon Lighting',centre has NO pharmacy
61,0.7,Item 125,TAS,Priceline Pharmacy Glenorchy,"346 Main Road, GLENORCHY, TAS, 7010",Jackson Motor Company,1214.0,20,5000.0,0,Pharmacy 'Priceline Pharmacy Glenorchy' is 1214m from large shopping centre 'Jackson Motor Company',centre has NO pharmacy
62,0.7,Item 125,TAS,Priceline Pharmacy Glenorchy,"346 Main Road, GLENORCHY, TAS, 7010",Harvey Norman,1299.0,20,5000.0,0,Pharmacy 'Priceline Pharmacy Glenorchy' is 1299m from large shopping centre 'Harvey Norman',centre has NO pharmacy
63,0.7,Item 125,TAS,Priceline Pharmacy Glenorchy,"346 Main Road, GLENORCHY, TAS, 7010",Beacon Lighting,1307.0,20,5000.0,0,Pharmacy 'Priceline Pharmacy Glenorchy' is 1307m from large shopping centre 'Beacon Lighting',centre has NO pharmacy
64,0.7,Item 125,TAS,Priceline Pharmacy Glenorchy,"346 Main Road, GLENORCHY, TAS, 7010",BCF,1351.0,20,5000.0,0,Pharmacy 'Priceline Pharmacy Glenorchy' is 1351m from large shopping centre 'BCF',centre has NO pharmacy
65,0.7,Item 125,TAS,Blooms the Chemist Glenorchy,"Shop 14 Centro Glenorchy, GLENORCHY, TAS, 7010",Jackson Motor Company,1279.0,20,5000.0,0,Pharmacy 'Blooms the Chemist Glenorchy' is 1279m from large shopping centre 'Jackson Motor Company',centre has NO pharmacy
66,0.7,Item 125,TAS,Blooms the Chemist Glenorchy,"Shop 14 Centro Glenorchy, GLENORCHY, TAS, 7010",Harvey Norman,1352.0,20,5000.0,0,Pharmacy 'Blooms the Chemist Glenorchy' is 1352m from large shopping centre 'Harvey Norman',centre has NO pharmacy
67,0.7,Item 125,TAS,Blooms the Chemist Glenorchy,"Shop 14 Centro Glenorchy, GLENORCHY, TAS, 7010",Beacon Lighting,1369.0,20,5000.0,0,Pharmacy 'Blooms the Chemist Glenorchy' is 1369m from large shopping centre 'Beacon Lighting',centre has NO pharmacy
68,0.7,Item 125,TAS,Blooms the Chemist Glenorchy,"Shop 14 Centro Glenorchy, GLENORCHY, TAS, 7010",BCF,1411.0,20,5000.0,0,Pharmacy 'Blooms the Chemist Glenorchy' is 1411m from large shopping centre 'BCF',centre has NO pharmacy
69,0.7,Item 125,TAS,Derwent Park Pharmacy,"254 Main Road, DERWENT PARK, TAS, 7009",Fantastic Furniture,1137.0,20,5000.0,0,Pharmacy 'Derwent Park Pharmacy' is 1137m from large shopping centre 'Fantastic Furniture',centre has NO pharmacy
70,0.7,Item 124,TAS,Friendly Care Advantage Moonah,"67 Hopkins Street, MOONAH, TAS, 7009",Jackson Motor Company,857.0,20,5000.0,0,Pharmacy 'Friendly Care Advantage Moonah' is 857m from large shopping centre 'Jackson Motor Company',centre has NO pharmacy
71,0.7,Item 124,TAS,Chemist Warehouse Moonah,"68-74 Main Road, MOONAH, TAS, 7009",BCF,810.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Moonah' is 810m from large shopping centre 'BCF',centre has NO pharmacy
72,0.7,Item 124,TAS,Chemist Warehouse Moonah,"68-74 Main Road, MOONAH, TAS, 7009",Harvey Norman,820.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Moonah' is 820m from large shopping centre 'Harvey Norman',centre has NO pharmacy
73,0.7,Item 124,TAS,Chemist Warehouse Moonah,"68-74 Main Road, MOONAH, TAS, 7009",Beacon Lighting,857.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Moonah' is 857m from large shopping centre 'Beacon Lighting',centre has NO pharmacy
74,0.7,Item 124,TAS,Chemist Warehouse Moonah,"68-74 Main Road, MOONAH, TAS, 7009",Jackson Motor Company,938.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Moonah' is 938m from large shopping centre 'Jackson Motor Company',centre has NO pharmacy
75,0.7,Item 125,TAS,Friendly Care Advantage New Town,"127 New Town Road, NEW TOWN, TAS, 7008",GO PIZZA,1067.0,20,5000.0,0,Pharmacy 'Friendly Care Advantage New Town' is 1067m from large shopping centre 'GO PIZZA',centre has NO pharmacy
76,0.7,Item 125,TAS,Burnie Plaza Pharmacy,"Shop 6 24 Mount Street, BURNIE, TAS, 7320",West Park Grove Supermarket,1396.0,20,5000.0,0,Pharmacy 'Burnie Plaza Pharmacy' is 1396m from large shopping centre 'West Park Grove Supermarket',centre has NO pharmacy
77,0.7,Item 125,TAS,Complete Care Pharmacy South Hobart,"360 Macquarie Street, SOUTH HOBART, TAS, 7004",Visitor Centre,1341.0,20,5000.0,0,Pharmacy 'Complete Care Pharmacy South Hobart' is 1341m from large shopping centre 'Visitor Centre',centre has NO pharmacy
78,0.7,Item 125,TAS,Priceline Pharmacy Kingston,"Shop 30 Channel Court Shopping Centre, 29 Channel Highway, KINGSTON, TAS, 7050",Total Tools,1431.0,20,5000.0,0,Pharmacy 'Priceline Pharmacy Kingston' is 1431m from large shopping centre 'Total Tools',centre has NO pharmacy
79,0.7,Item 124,TAS,Chemist Warehouse New Town TAS,"Shop 10 Centro New Town Plaza 1 Risdon Rd, New Town, TAS, 7008",GO PIZZA,946.0,20,5000.0,0,Pharmacy 'Chemist Warehouse New Town TAS' is 946m from large shopping centre 'GO PIZZA',centre has NO pharmacy
80,0.7,Item 124,TAS,Chemist Warehouse Moonah,"38 to 74 Main Road, Moonah, TAS, 7009",Harvey Norman,815.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Moonah' is 815m from large shopping centre 'Harvey Norman',centre has NO pharmacy
81,0.7,Item 124,TAS,Chemist Warehouse Moonah,"38 to 74 Main Road, Moonah, TAS, 7009",BCF,821.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Moonah' is 821m from large shopping centre 'BCF',centre has NO pharmacy
82,0.7,Item 124,TAS,Chemist Warehouse Moonah,"38 to 74 Main Road, Moonah, TAS, 7009",Beacon Lighting,865.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Moonah' is 865m from large shopping centre 'Beacon Lighting',centre has NO pharmacy
83,0.7,Item 124,TAS,Chemist Warehouse Moonah,"38 to 74 Main Road, Moonah, TAS, 7009",Jackson Motor Company,936.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Moonah' is 936m from large shopping centre 'Jackson Motor Company',centre has NO pharmacy
84,0.7,Item 125,TAS,Chemist Warehouse Mowbray,"Shop 8 25 Vermont Road, Mowbray, TAS, 7248",Pellows Saws & Mowers,1376.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Mowbray' is 1376m from large shopping centre 'Pellows Saws & Mowers',centre has NO pharmacy
85,0.7,Item 125,TAS,Invermay Discount Drug Store,,Pellows Saws & Mowers,1192.0,20,5000.0,0,Pharmacy 'Invermay Discount Drug Store' is 1192m from large shopping centre 'Pellows Saws & Mowers',centre has NO pharmacy
86,0.7,Item 125,TAS,Invermay Discount Drug Store,,Tamar Marine,1470.0,20,5000.0,0,Pharmacy 'Invermay Discount Drug Store' is 1470m from large shopping centre 'Tamar Marine',centre has NO pharmacy
