Rank,Deal Score,Item,State,Pharmacy Name,Pharmacy Address,Target Centre,Distance (m),Centre Tenants,Centre GLA (sqm),Existing Pharmacies in Centre,Key Reason,Why Opportunity
138,0.55,Item 125,TAS,Chemist Warehouse South Launceston,"98 Wellington Street, LAUNCESTON, TAS, 7250",Gateway Shopping Centre (Launceston),1071.0,28,7000.0,1,Pharmacy 'Chemist Warehouse South Launceston' is 1071m from large shopping centre 'Gateway Shopping Centre (Launceston)',
139,0.55,Item 125,TAS,Chemist Warehouse South Launceston,"98 Wellington Street, LAUNCESTON, TAS, 7250",Anaconda,1084.0,20,5000.0,1,Pharmacy 'Chemist Warehouse South Launceston' is 1084m from large shopping centre 'Anaconda',
140,0.55,Item 124,TAS,Fitzpatrick's Pharmacy,"231 Charles Street, LAUNCESTON, TAS, 7250",Gateway Shopping Centre (Launceston),876.0,28,7000.0,1,Pharmacy 'Fitzpatrick's Pharmacy' is 876m from large shopping centre 'Gateway Shopping Centre (Launceston)',
141,0.55,Item 125,TAS,Fitzpatrick's Pharmacy,"231 Charles Street, LAUNCESTON, TAS, 7250",Reddy Express,1059.0,20,5000.0,1,Pharmacy 'Fitzpatrick's Pharmacy' is 1059m from large shopping centre 'Reddy Express',
142,0.55,Item 125,TAS,Fitzpatrick's Pharmacy,"231 Charles Street, LAUNCESTON, TAS, 7250",Bella Plaza,1253.0,20,5000.0,1,Pharmacy 'Fitzpatrick's Pharmacy' is 1253m from large shopping centre 'Bella Plaza',
143,0.55,Item 124,TAS,Hatton & Laws Soul Pattinson Pharmacy,"102 Charles Street, LAUNCESTON, TAS, 7250",Gateway Shopping Centre (Launceston),843.0,28,7000.0,1,Pharmacy 'Hatton & Laws Soul Pattinson Pharmacy' is 843m from large shopping centre 'Gateway Shopping Centre (Launceston)',
144,0.55,Item 124,TAS,Hatton & Laws Soul Pattinson Pharmacy,"102 Charles Street, LAUNCESTON, TAS, 7250",Anaconda,981.0,20,5000.0,1,Pharmacy 'Hatton & Laws Soul Pattinson Pharmacy' is 981m from large shopping centre 'Anaconda',
145,0.55,Item 124,TAS,Pharmacy and Co Launceston,"68a Brisbane Street, LAUNCESTON, TAS, 7250",Reddy Express,948.0,20,5000.0,1,Pharmacy 'Pharmacy and Co Launceston' is 948m from large shopping centre 'Reddy Express',
146,0.55,Item 125,TAS,TerryWhite Chemmart Launceston City,"27-29 Brisbane Street, LAUNCESTON, TAS, 7250",Reddy Express,1235.0,20,5000.0,1,Pharmacy 'TerryWhite Chemmart Launceston City' is 1235m from large shopping centre 'Reddy Express',
147,0.55,Item 125,TAS,TerryWhite Chemmart Windsor,"1 Windsor Drive, RIVERSIDE, TAS, 7250",Woolworths Riverside,1203.0,20,5000.0,1,Pharmacy 'TerryWhite Chemmart Windsor' is 1203m from large shopping centre 'Woolworths Riverside',
148,0.55,Item 125,TAS,TerryWhite Chemmart Newstead,"167 Elphin Road, NEWSTEAD, TAS, 7250",Gateway Shopping Centre (Launceston),1493.0,28,7000.0,1,Pharmacy 'TerryWhite Chemmart Newstead' is 1493m from large shopping centre 'Gateway Shopping Centre (Launceston)',
149,0.55,Item 124,TAS,Chemist Warehouse Racecourse,"1-3 Innes Street, LAUNCESTON, TAS, 7250",Anaconda,919.0,20,5000.0,1,Pharmacy 'Chemist Warehouse Racecourse' is 919m from large shopping centre 'Anaconda',
150,0.55,Item 125,TAS,Priceline Pharmacy Launceston Plaza,"Launceston Shopping Plaza, Shop 1, 15 Racecourse Crescent, LAUNCESTON, TAS, 7250",Anaconda,1061.0,20,5000.0,1,Pharmacy 'Priceline Pharmacy Launceston Plaza' is 1061m from large shopping centre 'Anaconda',
151,0.55,Item 124,TAS,Priceline Pharmacy Ulverstone,"66 Reibey Street, ULVERSTONE, TAS, 7315",Home Timber & Hardware Ulverstone Building Centre,891.0,20,5000.0,1,Pharmacy 'Priceline Pharmacy Ulverstone' is 891m from large shopping centre 'Home Timber & Hardware Ulverstone Building Centre',
152,0.55,Item 124,TAS,Peter Thompson's Pharmacy,"13 Reibey Street, ULVERSTONE, TAS, 7315",Home Timber & Hardware Ulverstone Building Centre,941.0,20,5000.0,1,Pharmacy 'Peter Thompson's Pharmacy' is 941m from large shopping centre 'Home Timber & Hardware Ulverstone Building Centre',
153,0.55,Item 124,TAS,Westside Pharmacy,"42 Queen Street, ULVERSTONE, TAS, 7315",McDonald's,801.0,20,5000.0,1,Pharmacy 'Westside Pharmacy' is 801m from large shopping centre 'McDonald's',
154,0.55,Item 124,TAS,Priceline Pharmacy Glenorchy,"346 Main Road, GLENORCHY, TAS, 7010",Thirsty Camel Glenorchy,822.0,20,5000.0,1,Pharmacy 'Priceline Pharmacy Glenorchy' is 822m from large shopping centre 'Thirsty Camel Glenorchy',
155,0.55,Item 125,TAS,Derwent Park Pharmacy,"254 Main Road, DERWENT PARK, TAS, 7009",Glenorchy Central,1413.0,40,10000.0,1,Pharmacy 'Derwent Park Pharmacy' is 1413m from large shopping centre 'Glenorchy Central',
156,0.55,Item 125,TAS,Friendly Care Advantage Moonah,"67 Hopkins Street, MOONAH, TAS, 7009",New Town Plaza,1327.0,20,5000.0,1,Pharmacy 'Friendly Care Advantage Moonah' is 1327m from large shopping centre 'New Town Plaza',
157,0.55,Item 125,TAS,Chemist Warehouse Moonah,"68-74 Main Road, MOONAH, TAS, 7009",New Town Plaza,1274.0,20,5000.0,1,Pharmacy 'Chemist Warehouse Moonah' is 1274m from large shopping centre 'New Town Plaza',
158,0.55,Item 125,TAS,Chemist Warehouse New Town,"Shop 10 New Town Plaza 1 Risdon Road, NEW TOWN, TAS, 7008",Autobarn,1004.0,20,5000.0,1,Pharmacy 'Chemist Warehouse New Town' is 1004m from large shopping centre 'Autobarn',
159,0.55,Item 125,TAS,Friendly Care Advantage New Town,"127 New Town Road, NEW TOWN, TAS, 7008",Autobarn,1407.0,20,5000.0,1,Pharmacy 'Friendly Care Advantage New Town' is 1407m from large shopping centre 'Autobarn',
160,0.55,Item 125,TAS,Augusta Road Pharmacy,"120 Augusta Road, LENAH VALLEY, TAS, 7008",New Town Plaza,1371.0,20,5000.0,1,Pharmacy 'Augusta Road Pharmacy' is 1371m from large shopping centre 'New Town Plaza',
161,0.55,Item 125,TAS,Lenah Valley Pharmacy,"106 Augusta Road, LENAH VALLEY, TAS, 7008",New Town Plaza,1373.0,20,5000.0,1,Pharmacy 'Lenah Valley Pharmacy' is 1373m from large shopping centre 'New Town Plaza',
162,0.55,Item 125,TAS,HPS Pharmacies Lenah Valley,"18 Joynton Street, Calvary Hospital, LENAH VALLEY, TAS, 7008",New Town Plaza,1104.0,20,5000.0,1,Pharmacy 'HPS Pharmacies Lenah Valley' is 1104m from large shopping centre 'New Town Plaza',
163,0.55,Item 125,TAS,Slade Pharmacy New Town,"30 - 36 New Town Road, Shop 1, NEW TOWN, TAS, 7008",New Town Plaza,1304.0,20,5000.0,1,Pharmacy 'Slade Pharmacy New Town' is 1304m from large shopping centre 'New Town Plaza',
164,0.55,Item 124,TAS,Chemist Warehouse Rosny,"Tenancy B, 27 Bligh Street, ROSNY PARK, TAS, 7018",Eastlands Shopping Centre,385.0,94,22000.0,2,Pharmacy 'Chemist Warehouse Rosny' is 385m from large shopping centre 'Eastlands Shopping Centre',pharmacy 385m from centre
165,0.55,Item 125,TAS,Chemist Warehouse Rosny,"Tenancy B, 27 Bligh Street, ROSNY PARK, TAS, 7018",Bellerive Quay,1219.0,24,6000.0,1,Pharmacy 'Chemist Warehouse Rosny' is 1219m from large shopping centre 'Bellerive Quay',
166,0.55,Item 124,TAS,Chemist Warehouse Eastlands Shopping Centre,"Shop G017, Eastlands Shopping Centre, 26 Bligh Street, ROSNY PARK, TAS, 7018",Bellerive Quay,952.0,24,6000.0,1,Pharmacy 'Chemist Warehouse Eastlands Shopping Centre' is 952m from large shopping centre 'Bellerive Quay',
167,0.55,Item 124,TAS,Complete Care Pharmacy Rosny Park,"8 Bayfield Street, Tenancy A, Ground Floor 8, ROSNY PARK, TAS, 7018",Bellerive Quay,973.0,24,6000.0,1,Pharmacy 'Complete Care Pharmacy Rosny Park' is 973m from large shopping centre 'Bellerive Quay',
168,0.55,Item 124,TAS,Rhys Jones Pharmacy,"G2/13 Bayfield Street, BELLERIVE, TAS, 7018",Bellerive Quay,920.0,24,6000.0,1,Pharmacy 'Rhys Jones Pharmacy' is 920m from large shopping centre 'Bellerive Quay',
