opportunity_id,state,opportunity_lat,opportunity_lng,rule,confidence,poi_name,nearest_pharmacy_km,composite_score,property_address,rent_display,rent_pa,rent_sqm,floor_area_sqm,property_type,listing_url,agent,suitability_score,suitability_note
SA_135,SA,-34.9157539,138.6280969,Item 133,70%,Aldi,0.37,545.3,"64a Fullarton Road, Norwood, SA 5067","$65,000 P.A. excluding GST",65000.0,275.42,236,Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-64a-fullarton-road-norwood-sa-5067-502088594,,100,"Retail/Medical, 236m² ideal"
VIC_064,VIC,-37.866424,145.0937422,Item 133,75%,Woolworths,0.1,483.5,"Ground Flo/63 Glen Huntly Road,Elwood, VIC 3184",Contact Agent,0,0,137,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-ground-flo-63-glen-huntly-road-elwood-vic-3184-505021012,,100,"Retail/Medical, 137m² ideal"
VIC_064,VIC,-37.866424,145.0937422,Item 133,75%,Woolworths,0.1,483.5,"L1, S2/23-27 Wellington Street,St Kilda, VIC 3182",Contact Agent,0,0,395,Medical & Consulting | Offices | Other,https://www.realcommercial.com.au/for-lease/property-l1-s2-23-27-wellington-street-st-kilda-vic-3182-504907476,,100,"Retail/Medical, 395m² ideal"
VIC_064,VIC,-37.866424,145.0937422,Item 133,75%,Woolworths,0.1,483.5,"Shop 1/129 Martin Street,Brighton, VIC 3186",Contact Agent,0,0,190,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-shop-1-129-martin-street-brighton-vic-3186-505059344,,100,"Retail/Medical, 190m² ideal"
SA_126,SA,-34.8839,138.5974,Item 136,95%,Prospect Medical Centre,0.32,457.4,"301 Churchill Road,Prospect, SA 5082",Please Contact Agent,0,0,386,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-301-churchill-road-prospect-sa-5082-505048696,,100,"Retail/Medical, 386m² ideal"
SA_126,SA,-34.8839,138.5974,Item 136,95%,Prospect Medical Centre,0.32,457.4,"91 Prospect Road,Prospect, SA 5082",Contact Agent,0,0,390,Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-91-prospect-road-prospect-sa-5082-505025596,,100,"Retail/Medical, 390m² ideal"
SA_126,SA,-34.8839,138.5974,Item 136,95%,Prospect Medical Centre,0.32,457.4,"2/92 Prospect Road, Prospect, SA 5082","$39,500 P.A. excluding GST",39500.0,346.49,114,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-2-92-prospect-road-prospect-sa-5082-504909040,,100,"Retail/Medical, 114m² ideal"
SA_126,SA,-34.8839,138.5974,Item 136,95%,Prospect Medical Centre,0.32,457.4,"44-46 O'Connell Street,North Adelaide, SA 5006",Contact Agents,0,0,298,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-44-46-o-connell-street-north-adelaide-sa-5006-505013656,,100,"Retail/Medical, 298m² ideal"
TAS_013,TAS,-42.843114,147.2977798,Item 134,55%,Fantastic Furniture,0.37,423.9,"Part of 12 Warwick Street,Hobart, TAS 7000","$32,000 per annum + GST & Outgoings",32000.0,307.69,104,Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-part-of-12-warwick-street-hobart-tas-7000-505057508,,100,"Retail/Medical, 104m² ideal"
TAS_013,TAS,-42.843114,147.2977798,Item 134,55%,Fantastic Furniture,0.37,423.9,"Suite 5, 5 Fitzroy Street,Sorell, TAS 7172",Contact Agent,0,0,132,Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-suite-5-5-fitzroy-street-sorell-tas-7172-505059996,,100,"Retail/Medical, 132m² ideal"
TAS_013,TAS,-42.843114,147.2977798,Item 134,55%,Fantastic Furniture,0.37,423.9,"30 Beach Road,Kingston Beach, TAS 7050",Price on Application,0,0,191,Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-30-beach-road-kingston-beach-tas-7050-505017656,,100,"Retail/Medical, 191m² ideal"
TAS_013,TAS,-42.843114,147.2977798,Item 134,55%,Fantastic Furniture,0.37,423.9,"193 Murray Street,Hobart, TAS 7000",Contact Agent,0,0,180,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-193-murray-street-hobart-tas-7000-505030356,,100,"Retail/Medical, 180m² ideal"
SA_119,SA,-34.8811731,138.4914867,Item 133,75%,Coles,0.12,418.3,"2/9 Charles Street, West Lakes, SA 5021",Contact Agent,0,0,237,Medical & Consulting,https://www.realcommercial.com.au/for-lease/property-2-9-charles-street-west-lakes-sa-5021-504975228,,100,"Retail/Medical, 237m² ideal"
