Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes
-33.2699585,138.3566079,"IGA Gladstone, 48, Gladstone Street, Gladstone, Northern Areas Council, South Australia, 5473, Australia","Item 131, Item 133","Near 'IGA Gladstone' (supermarket); route distance 11.53 km from nearest pharmacy (verified via OSRM) | Supermarket 'IGA Gladstone' (1,200 sqm) with no adjacent pharmacy (nearest 10.82 km)",85%,11.53,Chris Ramsay Chemist,IGA Gladstone,supermarket,SA,2026-02-14T16:51:50.382640,VERIFIED,No pharmacies found in OSM within search radius
-35.014,138.5554,"Norfolk Estate, Norfolk Road, Marion, Adelaide, City of Marion, South Australia, 5043, Australia",Item 132,"Major shopping centre 'Westfield Marion' (GLA 105,000 sqm) with no pharmacy within 200 m",85%,0.84,TerryWhite Chemmart Westfield Marion,Westfield Marion,shopping_centre,SA,2026-02-14T16:51:50.383640,VERIFIED,All 3 nearby OSM pharmacies already in DB: Star Discount Chemist (1m); Mitchell Park Pharmacy (1m); TerryWhite Chemmart (1m)
-34.8326538,138.68406365,"Repco, 947, North East Road, Adelaide, City of Tea Tree Gully, South Australia, 5092, Australia","Item 132, Item 133","Major shopping centre 'Westfield Tea Tree Plaza' (GLA 80,000 sqm) with no pharmacy within 200 m | Supermarket 'Big India Bazaar' (1,500 sqm) with no adjacent pharmacy (nearest 171 m)",85%,0.24,Modbury Triangle Pharmacy,Westfield Tea Tree Plaza,shopping_centre,SA,2026-02-14T16:51:50.384640,VERIFIED,All 5 nearby OSM pharmacies already in DB: Amcal (0m); Chemist Warehouse (0m); Priceline Pharmacy (1m)
-34.9251529,138.5992786,"BankSA, 97, King William Street, Adelaide, Adelaide City Council, South Australia, 5000, Australia",Item 132,"Major shopping centre 'Savings Bank Building' (GLA 22,000 sqm) with no pharmacy within 200 m",85%,0.21,Unknown Pharmacy,Savings Bank Building,shopping_centre,SA,2026-02-14T16:51:50.385640,VERIFIED,All 11 nearby OSM pharmacies already in DB: Unknown Pharmacy (0m); Chemist Warehouse (0m); Discount Chemist (0m)
-34.8833,138.5501,"30, Tarcowie Street, Kilkenny, Adelaide, City of Charles Sturt, South Australia, 5009, Australia",Item 135,Hospital 'The Queen Elizabeth Hospital' (330 beds) with no adjacent pharmacy (nearest 641 m),80%,0.64,Priceline Arndale,The Queen Elizabeth Hospital,hospital,SA,2026-02-14T16:51:50.389176,VERIFIED,All 2 nearby OSM pharmacies already in DB: Woodville Gardens Pharmacy (1m); TerryWhite Chemmart (1m)
-34.7188,138.662,"Elizabeth Park 'n' Ride, Langford Drive, Elizabeth, Adelaide, City of Playford, South Australia, 5112, Australia",Item 135,Hospital 'Lyell McEwin Hospital' (351 beds) with no adjacent pharmacy (nearest 612 m),80%,0.61,Priceline Pharmacy Elizabeth,Lyell McEwin Hospital,hospital,SA,2026-02-14T16:51:50.387640,VERIFIED,No pharmacies found in OSM within search radius
-35.0227,138.5688,"Medical Sciences Road, Bedford Park, Adelaide, City of Mitcham, South Australia, 5042, Australia",Item 135,Hospital 'Flinders Medical Centre' (580 beds) with no adjacent pharmacy (nearest 494 m),80%,0.49,Flinders University Pharmacy,Flinders Medical Centre,hospital,SA,2026-02-14T16:51:50.386640,VERIFIED,All 1 nearby OSM pharmacies already in DB: Flinders University Pharmacy (0m)
-34.8343,138.6905,"Modbury Hospital, 41-69, Smart Road, Adelaide, City of Tea Tree Gully, South Australia, 5092, Australia",Item 135,Hospital 'Modbury Hospital' (150 beds) with no adjacent pharmacy (nearest 351 m),80%,0.35,Priceline Pharmacy Tea Tree Plaza,Modbury Hospital,hospital,SA,2026-02-14T16:51:50.390172,VERIFIED,All 5 nearby OSM pharmacies already in DB: Priceline Pharmacy (0m); Chemist Warehouse (0m); Amcal (0m)
-33.4985739,138.6076676,"Spalding General Store, 15, Main Street, Spalding, Northern Areas Council, South Australia, 5454, Australia","Item 131, Item 133","Near 'Spalding General Store' (supermarket); straight-line 32.54 km, est. route 42.30 km from nearest pharmacy | Supermarket 'Spalding General Store' (1,300 sqm) with no adjacent pharmacy (nearest 32.54 km)",75%,32.54,Jamestown Pharmacy,Spalding General Store,supermarket,SA,2026-02-14T16:51:50.395173,VERIFIED,No pharmacies found in OSM within search radius
-34.1805568,140.78281116666668,"Murtho Road, Paringa, Renmark Paringa Council, South Australia, 5340, Australia","Item 130, Item 133","Supermarket 'IGA Local Grocer' (1200 sqm) + GP 'Dr John Gurr' (1.0 FTE) within 500 m; 3.13 km from nearest pharmacy | GP 'Dr John Gurr' (1.0 FTE) + Supermarket 'IGA Local Grocer' (1200 sqm) within 500 m; 3.22 km from nearest pharmacy | Supermarket 'IGA Local Grocer' (1,200 sqm) with no adjacent pharmacy (nearest 3.13 km)",75%,3.13,Priceline Pharmacy Renmark,IGA Local Grocer,supermarket,SA,2026-02-14T16:51:50.391172,VERIFIED,No pharmacies found in OSM within search radius
-35.070299250000005,138.53787845,,"Item 133, Item 134","Supermarket 'Trott Park IGA' (1,200 sqm) with no adjacent pharmacy (nearest 1.65 km) | Shopping centre 'Trott Park Shopping Centre' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,1.65,O'Halloran Hill Priceline,Trott Park Shopping Centre,shopping_centre,SA,2026-02-14T16:51:50.424820,VERIFIED,No pharmacies found in OSM within search radius
-34.9348279,138.52332,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 1.11 km)",75%,1.11,TerryWhite Chemmart Fulham,ALDI,supermarket,SA,2026-02-14T16:51:50.444398,VERIFIED,All 1 nearby OSM pharmacies already in DB: Airport Pharmacy (1m)
-34.7749958,138.6183911,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 924 m)",75%,0.92,Priceline Pharmacy,ALDI,supermarket,SA,2026-02-14T16:51:50.441398,VERIFIED,All 2 nearby OSM pharmacies already in DB: Priceline Pharmacy (1m); Star Discount Chemist (1m)
-34.876201,138.684282,,Item 133,"Supermarket 'Aldi Newton' (1,300 sqm) with no adjacent pharmacy (nearest 881 m)",75%,0.88,TerryWhite Chemmart,Aldi Newton,supermarket,SA,2026-02-14T16:51:50.457978,VERIFIED,All 3 nearby OSM pharmacies already in DB: TerryWhite Chemmart (1m); National Pharmacies Newton (1m); Newton Pharmacy (1m)
