name,latitude,longitude,openDate,closeDate,private,active,bpl_uuid,uuid,location_type_id
HPS Pharmacies - Wellington,-41.442947,147.138824,644198400000,,0,1,I/1bAn2PEfCuUALpWEZeRw==,I/1bAn2PEfCuUALpWEZeRw==,
HPS Pharmacies - Werribee,-37.888027,144.701828,644198400000,,0,1,I/1l0H2PEfCuUALpWEZeRw==,I/1l0H2PEfCuUALpWEZeRw==,
HPS Pharmacies - Whyalla Hospital,-33.033943,137.57759099999998,644198400000,,0,1,I/1wN32PEfCuUALpWEZeRw==,I/1wN32PEfCuUALpWEZeRw==,
HPS Pharmacies Adelaide - Wakefield,-34.929545999999995,138.605759,644198400000,,0,1,I/16032PEfCuUALpWEZeRw==,I/16032PEfCuUALpWEZeRw==,
HPS Pharmacies Bundoora,-37.691364,145.06196599999998,644198400000,,0,1,I/2FQ32PEfCuUALpWEZeRw==,I/2FQ32PEfCuUALpWEZeRw==,
HPS Pharmacies Calvary Riverina,-35.119037999999996,147.3526,644198400000,,0,1,I/2PrH2PEfCuUALpWEZeRw==,I/2PrH2PEfCuUALpWEZeRw==,
HPS Pharmacies Darlinghurst,-33.880772,151.22006199999998,644198400000,,0,1,I/2Z0H2PEfCuUALpWEZeRw==,I/2Z0H2PEfCuUALpWEZeRw==,
HPS Pharmacies Hobart,-42.880859,147.329773,644198400000,,0,1,I/2kgH2PEfCuUALpWEZeRw==,I/2kgH2PEfCuUALpWEZeRw==,
HPS Pharmacies John Fawkner Private Hospital,-37.754318,144.958481,644198400000,,0,1,I/2u8H2PEfCuUALpWEZeRw==,I/2u8H2PEfCuUALpWEZeRw==,
HPS Pharmacies Joondalup,-31.740795,115.77076699999999,644198400000,,0,1,I/25V32PEfCuUALpWEZeRw==,I/25V32PEfCuUALpWEZeRw==,
HPS Pharmacies Launceston,-41.440483,147.142654,644198400000,,0,1,I/3Din2PEfCuUALpWEZeRw==,I/3Din2PEfCuUALpWEZeRw==,
HPS Pharmacies Lenah Valley,-42.865707,147.30424499999998,644198400000,,0,1,I/3PvH2PEfCuUALpWEZeRw==,I/3PvH2PEfCuUALpWEZeRw==,
HPS Pharmacies Midland,-31.894838,116.00795699999999,644198400000,,0,1,I/3aWX2PEfCuUALpWEZeRw==,I/3aWX2PEfCuUALpWEZeRw==,
HPS Pharmacies Waratah,-33.964634,151.10064699999998,644198400000,,0,1,I/3lAn2PEfCuUALpWEZeRw==,I/3lAn2PEfCuUALpWEZeRw==,
HPS Pharmacy - Bella Vista,-33.745045,150.954285,644198400000,,0,1,I/3vQH2PEfCuUALpWEZeRw==,I/3vQH2PEfCuUALpWEZeRw==,
HPS Pharmacy - Coburg,-37.756718,144.972107,644198400000,,0,1,I/35oH2PEfCuUALpWEZeRw==,I/35oH2PEfCuUALpWEZeRw==,
HPS Pharmacy - St Vincent's Hospital,-27.566238,151.972824,644198400000,,0,1,I/4G7X2PEfCuUALpWEZeRw==,I/4G7X2PEfCuUALpWEZeRw==,
Hub Discount Chemist,-35.075054,138.592377,644198400000,,0,1,I/4RZ32PEfCuUALpWEZeRw==,I/4RZ32PEfCuUALpWEZeRw==,
Hughenden Pharmacy,-20.843044,144.20185899999998,644198400000,,0,1,I/4cGH2PEfCuUALpWEZeRw==,I/4cGH2PEfCuUALpWEZeRw==,
Hughesdale Pharmacy and LPO,-37.894988999999995,145.076797,644198400000,,0,1,I/4pyn2PEfCuUALpWEZeRw==,I/4pyn2PEfCuUALpWEZeRw==,
Hume City Pharmacy,-37.664519999999996,144.931656,644198400000,,0,1,I/404n2PEfCuUALpWEZeRw==,I/404n2PEfCuUALpWEZeRw==,
Humphries Road Pharmacy,-38.191998,145.122787,644198400000,,0,1,I/5AQH2PEfCuUALpWEZeRw==,I/5AQH2PEfCuUALpWEZeRw==,
Hunt Club Discount Drug Store,-38.100014,145.294525,644198400000,,0,1,I/5Ln32PEfCuUALpWEZeRw==,I/5Ln32PEfCuUALpWEZeRw==,
Hunter Connect Pharmacy,-33.866154,151.20874,644198400000,,0,1,I/5WMX2PEfCuUALpWEZeRw==,I/5WMX2PEfCuUALpWEZeRw==,
